"";"topic";"term";"beta"
"1";1;"feel";0,112929195346778
"2";1;"more";0,072676407841243
"3";1;"focus";0,0608018355271102
"4";1;"make";0,0521474862134203
"5";1;"anxiety";0,0364488990862617
"6";1;"help";0,0294046612727931
"7";1;"also";0,0249768546471843
"8";1;"drug";0,0237692710220183
"9";1;"time";0,0237692710220183
"10";1;"able";0,0189389365213541
"11";2;"work";0,117030019897915
"12";2;"well";0,0802621334025435
"13";2;"get";0,0337615710701618
"14";2;"month";0,0322475992732935
"15";2;"great";0,0300847824206246
"16";2;"as";0,0287870923090233
"17";2;"still";0,0281382472532226
"18";2;"become";0,021433515009949
"19";2;"stimulant";0,0190544164720131
"20";2;"year";0,0184055714162125
"21";3;"day";0,0999250718061857
"22";3;"effect";0,0901427798359905
"23";3;"side";0,0732839362277817
"24";3;"sleep";0,0424801232152521
"25";3;"stop";0,0281188860675186
"26";3;"give";0,0270782167089872
"27";3;"experience";0,0258294134787495
"28";3;"bad";0,0235399408899804
"29";3;"lose";0,0216667360446239
"30";3;"few";0,0177121924822046
"31";4;"mg";0,107431978833472
"32";4;"start";0,107037080914584
"33";4;"week";0,0497768826758283
"34";4;"then";0,040694230541405
"35";4;"dose";0,0379299451091893
"36";4;"ago";0,0300319867314299
"37";4;"first";0,0298345377719859
"38";4;"go";0,0254906606642183
"39";4;"see";0,0252932117047743
"40";4;"month";0,0241085179481104
"41";5;"year";0,111764233840228
"42";5;"now";0,0846808169161016
"43";5;"school";0,065822734020784
"44";5;"old";0,0610079043453838
"45";5;"son";0,0439553825783413
"46";5;"medicine";0,0371343738715243
"47";5;"grade";0,0331220158086908
"48";5;"put";0,0194799983950568
"49";5;"weight";0,018075673073065
"50";5;"problem";0,0158688761385066
"51";6;"only";0,0608058156727452
"52";6;"hour";0,0367792015771316
"53";6;"go";0,034314933464761
"54";6;"very";0,0334935107606374
"55";6;"good";0,0322613767044521
"56";6;"last";0,0310292426482668
"57";6;"use";0,0289756858879579
"58";6;"about";0,0254846393954329
"59";6;"when";0,025279283719402
"60";6;"eat";0,0248685723673402
"61";7;"life";0,0638726207906296
"62";7;"diagnose";0,0349967463803481
"63";7;"change";0,0345900439238653
"64";7;"know";0,0293029119895884
"65";7;"always";0,0280828046201399
"66";7;"time";0,0232023751423459
"67";7;"go";0,0189319993492761
"68";7;"drug";0,0168984870668619
"69";7;"people";0,0168984870668619
"70";7;"issue";0,0156783796974134
"71";8;"do";0,0805542031807855
"72";8;"get";0,0773085037325544
"73";8;"thing";0,0523571892242778
"74";8;"just";0,0489086335605323
"75";8;"when";0,0474886400519312
"76";8;"i&#039;m";0,0369401168451801
"77";8;"say";0,0310572865952613
"78";8;"much";0,0296372930866602
"79";8;"want";0,0294344368711457
"80";8;"really";0,0253773125608569
"81";9;"so";0,100781837946317
"82";9;"medication";0,0963918387825069
"83";9;"adhd";0,0708880341165649
"84";9;"try";0,064825654318923
"85";9;"help";0,0389037544945229
"86";9;"other";0,032841374696881
"87";9;"make";0,0257337570030939
"88";9;"med";0,0207166151015971
"89";9;"come";0,0194623296262229
"90";9;"far";0,0192532820469939
