"";"document";"topic";"gamma"
"1";"191499";1;0,296655879180151
"2";"42458";1;0,25782092772384
"3";"180659";1;0,247863247863248
"4";"163509";1;0,238403451995685
"5";"37339";1;0,238403451995685
"6";"41980";2;0,272827282728273
"7";"25990";2;0,262926292629263
"8";"108512";2;0,220538720538721
"9";"217502";2;0,220538720538721
"10";"105906";2;0,214141414141414
"11";"180566";3;0,292328042328042
"12";"13255";3;0,28042328042328
"13";"105845";3;0,266117969821674
"14";"42497";3;0,248182762201454
"15";"158506";3;0,23883696780893
"16";"158463";4;0,319444444444444
"17";"217770";4;0,282728272827283
"18";"42511";4;0,281944444444444
"19";"191362";4;0,275275275275275
"20";"105960";4;0,255555555555556
"21";"217763";4;0,255555555555556
"22";"191550";5;0,261728395061728
"23";"42551";5;0,257528556593977
"24";"186691";5;0,248035914702581
"25";"95202";5;0,242532855436081
"26";"158787";5;0,241414141414141
"27";"158765";6;0,291005291005291
"28";"78618";6;0,291005291005291
"29";"163454";6;0,288259958071279
"30";"191353";6;0,286799620132953
"31";"78580";6;0,284369114877589
"32";"37374";7;0,405291005291005
"33";"88374";7;0,369949494949495
"34";"13473";7;0,32449494949495
"35";"191561";7;0,31957671957672
"36";"191707";7;0,293803418803419
"37";"180669";8;0,391223155929038
"38";"13481";8;0,366013071895425
"39";"42425";8;0,29040404040404
"40";"105979";8;0,280939476061427
"41";"217718";8;0,271957671957672
"42";"191533";9;0,305801376597837
"43";"158805";9;0,28042328042328
"44";"105927";9;0,275905118601748
"45";"217803";9;0,275905118601748
"46";"37348";9;0,261553588987217
