"";"topic";"term";"beta"
"1";1;"take";0,125100214860661
"2";1;"bad";0,0648109546868486
"3";1;"doctor";0,0487765769810474
"4";1;"do";0,0407593881281467
"5";1;"make";0,0394766379116826
"6";1;"really";0,0362697623705224
"7";1;"also";0,031780136612898
"8";1;"say";0,031138761504666
"9";1;"tell";0,0298560112882019
"10";1;"never";0,0260077606388096
"11";2;"be";0,12825221916131
"12";2;"pill";0,113627861102609
"13";2;"month";0,0707750909771112
"14";2;"control";0,0643131653232663
"15";2;"birth";0,0568309356188144
"16";2;"work";0,039485766758494
"17";2;"other";0,0326837397544468
"18";2;"period";0,0255416114001973
"19";2;"switch";0,022480699248376
"20";2;"always";0,0173791789953406
"21";3;"day";0,159702908745869
"22";3;"bleeding";0,0998265877040867
"23";3;"heavy";0,0965546575925138
"24";3;"blood";0,0402774596734614
"25";3;"very";0,0399502666623041
"26";3;"light";0,0327520204168439
"27";3;"clot";0,0301344763275856
"28";3;"life";0,0190099139482381
"29";3;"ever";0,0180283349147662
"30";3;"more";0,015410790825508
"31";4;"be";0,13425452626719
"32";4;"year";0,0785212544932889
"33";4;"period";0,0650001648913366
"34";4;"only";0,045542987171454
"35";4;"weight";0,0452132044982357
"36";4;"gain";0,044553639151799
"37";4;"just";0,0392771163803054
"38";4;"so";0,0270751574712265
"39";4;"when";0,0254262441051347
"40";4;"little";0,0198199386604228
"41";5;"week";0,126548409473789
"42";5;"bleed";0,0988009117034982
"43";5;"start";0,0951673108050077
"44";5;"then";0,0611435933009612
"45";5;"stop";0,0476001717702243
"46";5;"i&#039;m";0,0476001717702243
"47";5;"spot";0,0390116605556106
"48";5;"again";0,0363690417203449
"49";5;"next";0,0162190731014435
"50";5;"now";0,0145674363294024
"51";5;"hope";0,0145674363294024
"52";6;"so";0,0498665723563643
"53";6;"experience";0,0444008616532167
"54";6;"feel";0,0408642253158859
"55";6;"effect";0,0398996881329775
"56";6;"side";0,0395781757386747
"57";6;"mood";0,0218949940520207
"58";6;"good";0,0202874320805067
"59";6;"cause";0,0199659196862039
"60";6;"swing";0,0164292833488731
"61";6;"far";0,0161077709545703
"62";6;"headache";0,0161077709545703
"63";7;"period";0,154814164471759
"64";7;"month";0,138555588072708
"65";7;"now";0,0592137352453419
"66";7;"time";0,0510844470458167
"67";7;"first";0,0445810164861965
"68";7;"about";0,0390531005105193
"69";7;"last";0,0364517282866712
"70";7;"come";0,030923812310994
"71";7;"go";0,029948297727051
"72";7;"all";0,0244203817513738
"73";8;"get";0,149776189096062
"74";8;"shot";0,0924548352816153
"75";8;"go";0,0641161884520014
"76";8;"bleed";0,0599297974430812
"77";8;"back";0,0486587447267575
"78";8;"stop";0,0470485943387112
"79";8;"depo";0,0444723537178372
"80";8;"first";0,0438282935626187
"81";8;"second";0,0270827295269378
"82";8;"sex";0,0222522783627991
"83";9;"cramp";0,0703887429886846
"84";9;"pain";0,0519080504490484
"85";9;"even";0,0337515805855461
"86";9;"insert";0,0275913497390007
"87";9;"still";0,0272671270628668
"88";9;"ago";0,0272671270628668
"89";9;"go";0,0262944590344649
"90";9;"very";0,0259702363583309
"91";9;"when";0,0233764549492592
"92";9;"put";0,0233764549492592
