"";"document";"topic";"gamma"
"1";"32893";1;0,345199568500539
"2";"48804";1;0,345199568500539
"3";"166869";1;0,280651340996169
"4";"103173";1;0,226287262872629
"5";"745";1;0,221221221221221
"6";"104535";2;0,353720693170234
"7";"74270";2;0,267529665587918
"8";"221045";2;0,237891737891738
"9";"122887";2;0,221132897603486
"10";"44312";2;0,219954648526077
"11";"67360";3;0,317023445463812
"12";"68558";3;0,305050505050505
"13";"68737";3;0,28032619775739
"14";"13992";3;0,263888888888889
"15";"14006";3;0,257257257257257
"16";"104366";4;0,247953216374269
"17";"195548";4;0,247953216374269
"18";"148656";4;0,239018087855297
"19";"199296";4;0,23015873015873
"20";"148588";4;0,217247097844113
"21";"49012";5;0,332233223322332
"22";"218775";5;0,302530253025303
"23";"388";5;0,247953216374269
"24";"69105";5;0,244708994708995
"25";"198736";5;0,234953703703704
"26";"26673";6;0,271957671957672
"27";"74382";6;0,261977573904179
"28";"167602";6;0,261111111111111
"29";"124729";6;0,255555555555556
"30";"67369";6;0,25534188034188
"31";"84683";6;0,25534188034188
"32";"130725";7;0,269392033542977
"33";"149862";7;0,269392033542977
"34";"165710";7;0,266203703703704
"35";"199298";7;0,209750566893424
"36";"149311";7;0,204678362573099
"37";"198812";8;0,316561844863732
"38";"199032";8;0,288647342995169
"39";"396";8;0,285555555555556
"40";"68721";8;0,278825995807128
"41";"199224";8;0,274396135265701
"42";"148943";9;0,298377028714107
"43";"142738";9;0,292181069958848
"44";"148937";9;0,291383219954649
"45";"148794";9;0,277238403451996
"46";"167229";9;0,277238403451996
