"";"topic";"term";"beta"
"1";1;"effect";0,0722254347488823
"2";1;"side";0,0715202459698461
"3";1;"very";0,0558650550752436
"4";1;"dry";0,0445820346106653
"5";1;"medicine";0,0320296743438218
"6";1;"severe";0,0285037304486411
"7";1;"other";0,0275164661579905
"8";1;"lip";0,0266702396231471
"9";1;"experience";0,0248367487976531
"10";1;"medication";0,0237084467511953
"11";1;"mg";0,0237084467511953
"12";2;"try";0,0966031139356769
"13";2;"give";0,0438647171236834
"14";2;"good";0,0417907352265825
"15";2;"ever";0,0337910907663363
"16";2;"old";0,0324578166896286
"17";2;"thing";0,0317171088692354
"18";2;"life";0,02905056071582
"19";2;"almost";0,0259395878701687
"20";2;"finally";0,0257914463060901
"21";2;"change";0,0207546331274166
"22";3;"just";0,0780527838970239
"23";3;"feel";0,048392438051632
"24";3;"never";0,0403294314140498
"25";3;"time";0,0260751875368955
"26";3;"keep";0,0227635955250313
"27";3;"do";0,0218997019567189
"28";3;"well";0,0214677551725627
"29";3;"leave";0,0184441276834694
"30";3;"it&#039;";0,0174362518537716
"31";3;"happy";0,0171482873310008
"32";4;"pill";0,0643688490136681
"33";4;"control";0,0391488991636833
"34";4;"period";0,0366848810748917
"35";4;"birth";0,0311770759352398
"36";4;"i&#039;m";0,0298725957705854
"37";4;"also";0,0233501949473135
"38";4;"make";0,021900772542142
"39";4;"break";0,021031119099039
"40";4;"notice";0,0192918122128332
"41";4;"help";0,0179873320481788
"42";5;"about";0,0759266790173663
"43";5;"back";0,0683957646137394
"44";5;"when";0,0545388821110659
"45";5;"stop";0,0438449836579158
"46";5;"then";0,0340547949332008
"47";5;"come";0,0322473754763303
"48";5;"as";0,0295362462910247
"49";5;"last";0,026825117105719
"50";5;"again";0,0254695525130661
"51";5;"ago";0,0236621330561957
"52";6;"really";0,0616528461413389
"53";6;"make";0,0508624894683163
"54";6;"more";0,0448021521588104
"55";6;"look";0,0440630866332609
"56";6;"lot";0,0340117954857878
"57";6;"much";0,033716169275568
"58";6;"time";0,0323858513295789
"59";6;"help";0,0316467858040294
"60";6;"medication";0,0257342615996334
"61";6;"long";0,0251430091791938
"62";7;"see";0,0744990425644196
"63";7;"prescribe";0,0520332313073896
"64";7;"result";0,0491684634289764
"65";7;"dermatologist";0,0446451457262187
"66";7;"doctor";0,0432881504153913
"67";7;"well";0,0354477330639446
"68";7;"say";0,0328845196990486
"69";7;"antibiotic";0,0230839980097402
"70";7;"tell";0,0221793344691887
"71";7;"suffer";0,0212746709286371
"72";8;"pimple";0,060635088572123
"73";8;"breakout";0,0476244942310167
"74";8;"cystic";0,0441931286905051
"75";8;"all";0,0367585033527301
"76";8;"few";0,0366155297885421
"77";8;"cheek";0,0261784596028194
"78";8;"chin";0,0254635917818795
"79";8;"away";0,022175199805556
"80";8;"before";0,021460331984616
"81";8;"little";0,021460331984616
"82";9;"product";0,0530423223703958
"83";9;"cream";0,0433228992467447
"84";9;"night";0,0348898703600475
"85";9;"dry";0,0333176107371039
"86";9;"spot";0,0318882838071552
"87";9;"red";0,0296013607192373
"88";9;"apply";0,0276003030173092
"89";9;"put";0,0258851107013707
"90";9;"wash";0,0258851107013707
"91";9;"burn";0,0217400626045195
