"";"document";"topic";"gamma"
"1";"158004";1;0,339307048984468
"2";"137084";1;0,338945005611672
"3";"136902";1;0,317801672640382
"4";"157769";1;0,305236270753512
"5";"137049";1;0,295555555555556
"6";"135113";2;0,260740740740741
"7";"157887";2;0,256038647342995
"8";"6356";2;0,252910052910053
"9";"10515";2;0,247953216374269
"10";"51734";2;0,247407407407407
"11";"137007";3;0,294444444444444
"12";"192173";3;0,281179138321995
"13";"24199";3;0,271164021164021
"14";"65296";3;0,270975056689342
"15";"157670";3;0,269444444444444
"16";"15189";4;0,399527186761229
"17";"81463";4;0,367195767195767
"18";"85873";4;0,352607709750567
"19";"161413";4;0,338624338624339
"20";"85669";4;0,329100529100529
"21";"65300";5;0,277124183006536
"22";"202297";5;0,271867612293144
"23";"34775";5;0,247953216374269
"24";"158017";5;0,247657295850067
"25";"12193";5;0,239952718676123
"26";"102296";6;0,266203703703704
"27";"137388";6;0,253285543608124
"28";"157177";6;0,253285543608124
"29";"179753";6;0,24537037037037
"30";"221576";6;0,24537037037037
"31";"152883";7;0,250617283950617
"32";"157118";7;0,247538677918425
"33";"24153";7;0,24537037037037
"34";"24007";7;0,231780167264038
"35";"179787";7;0,227390180878553
"36";"73959";8;0,27662037037037
"37";"63473";8;0,27457264957265
"38";"24216";8;0,261977573904179
"39";"179852";8;0,259958071278826
"40";"179764";8;0,250591016548463
"41";"101427";9;0,345555555555556
"42";"179585";9;0,332199546485261
"43";"179641";9;0,328843995510662
"44";"24162";9;0,305555555555556
"45";"63349";9;0,298540965207632
