"";"topic";"term";"beta"
"1";1;"month";0,0721024258760108
"2";1;"about";0,0507898200965336
"3";1;"stop";0,0442079859587538
"4";1;"back";0,0435811446122986
"5";1;"then";0,041700620572933
"6";1;"think";0,0377828621575879
"7";1;"give";0,0341785244154705
"8";1;"ago";0,0335516830690152
"9";1;"again";0,0319845797028772
"10";1;"put";0,0250893248918699
"11";2;"well";0,0792021559755124
"12";2;"dose";0,058407639073729
"13";2;"much";0,0514206813947298
"14";2;"very";0,0495907639073729
"15";2;"more";0,0389439712536598
"16";2;"as";0,0362822730902316
"17";2;"thought";0,0213102209209476
"18";2;"way";0,0194803034335906
"19";2;"control";0,0189812350279478
"20";2;"also";0,0179830982166622
"21";3;"side";0,0952357499343315
"22";3;"experience";0,0399100341476228
"23";3;"more";0,0243137641187287
"24";3;"also";0,0239854215918046
"25";3;"increase";0,0230003940110323
"26";3;"weight";0,0221795376937221
"27";3;"other";0,0198811400052535
"28";3;"far";0,0198811400052535
"29";3;"gain";0,0192244549514053
"30";3;"cause";0,0187319411610192
"31";4;"life";0,103328975479098
"32";4;"do";0,0578903733937056
"33";4;"thing";0,0291923089187207
"34";4;"come";0,0236121297152514
"35";4;"even";0,0234526960237237
"36";4;"able";0,0216989254169191
"37";4;"change";0,0207423232677529
"38";4;"didn&#039;t";0,0197857211185868
"39";4;"social";0,019147986352476
"40";4;"severe";0,0185102515863652
"41";5;"try";0,0740204882591632
"42";5;"medicine";0,0691977649171822
"43";5;"depression";0,0510709771835296
"44";5;"great";0,0434211401583184
"45";5;"suffer";0,0334430918645646
"46";5;"disorder";0,0314474822058139
"47";5;"other";0,0279551653030001
"48";5;"only";0,0267910596687288
"49";5;"too";0,0251280516197698
"50";5;"many";0,0229661411561232
"51";6;"week";0,099658736035543
"52";6;"start";0,0803419078587296
"53";6;"first";0,0730980972924246
"54";6;"few";0,034625414506938
"55";6;"just";0,0336595730980973
"56";6;"still";0,0286693924857538
"57";6;"little";0,0240011590096906
"58";6;"i&#039;m";0,0236792118734104
"59";6;"all";0,018850004829207
"60";6;"anxious";0,0178841634203664
"61";7;"when";0,0807790859848854
"62";7;"drug";0,056290746326749
"63";7;"use";0,056290746326749
"64";7;"need";0,0460737569329571
"65";7;"long";0,0376406863222082
"66";7;"only";0,0314780577989686
"67";7;"very";0,0258019525801953
"68";7;"pill";0,0256397781453732
"69";7;"withdrawal";0,0193149751873115
"70";7;"become";0,0147740910122928
"71";8;"make";0,074383198748843
"72";8;"sleep";0,0719894034662156
"73";8;"bad";0,0630525677444065
"74";8;"night";0,0472535188790655
"75";8;"hour";0,0325715744789506
"76";8;"just";0,0285819156745715
"77";8;"really";0,0277839839136957
"78";8;"problem";0,0252306022788931
"79";8;"keep";0,0223580479397402
"80";8;"morning";0,0206025980658134
"81";9;"medication";0,0978267910351082
"82";9;"doctor";0,0694876279310791
"83";9;"prescribe";0,0541035108174634
"84";9;"find";0,0358045083560047
"85";9;"say";0,0306224899598394
"86";9;"never";0,0275456665371162
"87";9;"good";0,0265740380878352
"88";9;"only";0,0259262857883146
"89";9;"finally";0,0230114004404716
"90";9;"really";0,0215539577665501
