"";"document";"topic";"gamma"
"1";"49792";1;0,295454545454545
"2";"49872";1;0,282258064516129
"3";"172460";1;0,274875621890547
"4";"29964";1;0,273364485981308
"5";"112356";1;0,252717391304348
"6";"112072";2;0,316176470588235
"7";"197047";2;0,302272727272727
"8";"231289";2;0,294811320754717
"9";"75262";2;0,288095238095238
"10";"184200";2;0,278571428571429
"11";"147541";3;0,353603603603604
"12";"7968";3;0,353603603603604
"13";"172268";3;0,332446808510638
"14";"30004";3;0,325757575757576
"15";"114887";3;0,30421686746988
"16";"160587";4;0,316176470588235
"17";"177323";4;0,313679245283019
"18";"141006";4;0,283854166666667
"19";"186323";4;0,276315789473684
"20";"28712";4;0,2725
"21";"82964";5;0,335648148148148
"22";"197085";5;0,31712962962963
"23";"204464";5;0,29656862745098
"24";"28234";5;0,286842105263158
"25";"160588";5;0,286764705882353
"26";"164276";6;0,345959595959596
"27";"196883";6;0,268617021276596
"28";"147490";6;0,267578125
"29";"141009";6;0,266509433962264
"30";"112014";6;0,257075471698113
"31";"28042";6;0,257075471698113
"32";"82840";7;0,2925
"33";"196931";7;0,2625
"34";"30354";7;0,260752688172043
"35";"49992";7;0,259615384615385
"36";"140500";7;0,252840909090909
"37";"204546";8;0,354395604395604
"38";"141809";8;0,318421052631579
"39";"28381";8;0,298469387755102
"40";"141995";8;0,291237113402062
"41";"28197";8;0,286697247706422
