"";"topic";"term";"beta"
"1";1;"mg";0,132654594635209
"2";1;"feel";0,12514088210985
"3";1;"week";0,0800586069576978
"4";1;"start";0,0717935231798031
"5";1;"also";0,0353520174318131
"6";1;"then";0,0334735893004734
"7";1;"dose";0,0312194755428657
"8";1;"increase";0,0255841911488466
"9";1;"see";0,0225787061387031
"10";1;"great";0,0158163648658802
"11";2;"life";0,0856140074138339
"12";2;"anxiety";0,0840365959460525
"13";2;"medication";0,0702342456029655
"14";2;"depression";0,0501222493887531
"15";2;"very";0,0442069563845729
"16";2;"be";0,0410521334490102
"17";2;"stress";0,0406577805820648
"18";2;"doctor";0,0292215474406499
"19";2;"even";0,0292215474406499
"20";2;"change";0,0292215474406499
"21";3;"be";0,0810153242791779
"22";3;"work";0,0755683056140606
"23";3;"go";0,0733894981480136
"24";3;"just";0,0490594814438231
"25";3;"give";0,0421599244680078
"26";3;"do";0,0388917132689375
"27";3;"think";0,037802309535914
"28";3;"want";0,0305396179824243
"29";3;"didn&#039;t";0,0298133488270753
"30";3;"now";0,0272714067833539
"31";4;"feel";0,0890314446751705
"32";4;"help";0,0686369029961436
"33";4;"more";0,0667828537525957
"34";4;"make";0,054916938593889
"35";4;"get";0,0452758825274399
"36";4;"long";0,031926727973895
"37";4;"time";0,0278478196380896
"38";4;"really";0,0233981014535746
"39";4;"anxiety";0,0196900029664788
"40";4;"happy";0,0196900029664788
"41";5;"year";0,0872675797689188
"42";5;"be";0,0811462238885913
"43";5;"take";0,0711990205830591
"44";5;"month";0,0685209273854159
"45";5;"start";0,054747876654679
"46";5;"about";0,0536001224271176
"47";5;"when";0,0405922411814217
"48";5;"ago";0,0360012242711761
"49";5;"again";0,0275843599357258
"50";5;"back";0,0264366057081644
"51";6;"day";0,123515011879905
"52";6;"first";0,0741954064367485
"53";6;"have";0,0615955072359421
"54";6;"take";0,0587155302757578
"55";6;"sleep";0,0547555619555043
"56";6;"night";0,0385556915544676
"57";6;"time";0,0381956944344445
"58";6;"last";0,0183958528331773
"59";6;"few";0,0173158614731082
"60";6;"hour";0,0169558643530852
"61";6;"wake";0,0169558643530852
"62";7;"so";0,0891450033139406
"63";7;"well";0,0589513218941012
"64";7;"now";0,0541645187421754
"65";7;"much";0,0416451874217542
"66";7;"week";0,0386994624051845
"67";7;"i&#039;m";0,0372265998968996
"68";7;"go";0,0372265998968996
"69";7;"anxiety";0,0243390529494072
"70";7;"lot";0,0236026216952647
"71";7;"use";0,0221297591869799
"72";8;"effect";0,098509809794818
"73";8;"be";0,0797888273176576
"74";8;"take";0,0790399880185712
"75";8;"side";0,0760446308222255
"76";8;"notice";0,0333607907742998
"77";8;"only";0,0322375318256702
"78";8;"as";0,0262468174329789
"79";8;"still";0,0213793619889172
"80";8;"medicine";0,0202561030402876
"81";8;"weight";0,0168863261943987
"82";9;"have";0,153698052891601
"83";9;"anxiety";0,0933958151700087
"84";9;"panic";0,0577956989247312
"85";9;"attack";0,0541630340017437
"86";9;"bad";0,0421752397558849
"87";9;"say";0,0251017146178436
"88";9;"doctor";0,0232853821563499
"89";9;"suffer";0,0232853821563499
"90";9;"prescribe";0,0211057832025574
"91";9;"medicine";0,0207425167102586
