"";"document";"topic";"gamma"
"1";"61845";1;0,222222222222222
"2";"61372";1;0,221132897603486
"3";"181643";1;0,217732884399551
"4";"45064";1;0,217283950617284
"5";"64544";1;0,214141414141414
"6";"196245";2;0,238482384823848
"7";"52855";2;0,238482384823848
"8";"89489";2;0,23015873015873
"9";"131946";2;0,228758169934641
"10";"119110";2;0,217836257309942
"11";"45496";3;0,252704031465093
"12";"181412";3;0,24385447394297
"13";"61494";3;0,230936819172113
"14";"64234";3;0,225047080979284
"15";"61696";3;0,224338624338624
"16";"64593";4;0,301587301587302
"17";"62464";4;0,237891737891738
"18";"63919";4;0,232323232323232
"19";"95905";4;0,218676122931442
"20";"61982";4;0,217836257309942
"21";"197370";5;0,282505910165485
"22";"83281";5;0,261229314420804
"23";"61718";5;0,23015873015873
"24";"61920";5;0,205050505050505
"25";"118864";5;0,204830917874396
"26";"96370";6;0,323232323232323
"27";"62044";6;0,282247765006386
"28";"89364";6;0,282247765006386
"29";"89303";6;0,270152505446623
"30";"61736";6;0,245555555555556
"31";"181791";7;0,280651340996169
"32";"45149";7;0,252803261977574
"33";"89375";7;0,235609103078983
"34";"45492";7;0,226970560303894
"35";"89594";7;0,220740740740741
"36";"197470";8;0,277777777777778
"37";"62052";8;0,233223322332233
"38";"89469";8;0,233223322332233
"39";"83194";8;0,23155929038282
"40";"62711";8;0,227390180878553
"41";"64235";9;0,25959595959596
"42";"96211";9;0,250712250712251
"43";"44910";9;0,228927203065134
"44";"83004";9;0,21256038647343
"45";"61624";9;0,208847736625514
