"";"topic";"term";"beta"
"1";1;"day";0,121358376461011
"2";1;"sleep";0,0703804927215987
"3";1;"night";0,0523540927681185
"4";1;"i&#039;m";0,0480897831017038
"5";1;"now";0,0451822992382392
"6";1;"more";0,0312263766936093
"7";1;"get";0,0287065573452734
"8";1;"still";0,0285127250877091
"9";1;"hour";0,0228915896183443
"10";1;"need";0,0217285960729585
"11";2;"effect";0,106582746515444
"12";2;"side";0,0978583743586548
"13";2;"depression";0,0615068237053655
"14";2;"anxiety";0,0521592821088054
"15";2;"experience";0,0340873683554559
"16";2;"medication";0,0318024137429634
"17";2;"severe";0,0264016119316175
"18";2;"other";0,0212085332668619
"19";2;"dosage";0,0176772397748281
"20";2;"begin";0,0141459462827943
"21";3;"year";0,107432716779223
"22";3;"life";0,0635458207250356
"23";3;"medication";0,0581351075128755
"24";3;"bipolar";0,0561311396565199
"25";3;"time";0,0320835253802529
"26";3;"disorder";0,0300795575238973
"27";3;"med";0,0268732089537284
"28";3;"put";0,025670828239915
"29";3;"change";0,0252700346686439
"30";3;"diagnose";0,0236668603835594
"31";4;"weight";0,0703828947092058
"32";4;"gain";0,0676524332612211
"33";4;"when";0,0407678897733717
"34";4;"great";0,040347818781374
"35";4;"also";0,0395076767973788
"36";4;"month";0,0329965764214152
"37";4;"now";0,0315263279494235
"38";4;"work";0,0281657600134423
"39";4;"cause";0,026065405053454
"40";4;"lose";0,0241750855894646
"41";5;"mg";0,130845099091431
"42";5;"start";0,0836587035769138
"43";5;"week";0,0573823578394182
"44";5;"dose";0,0414685146462871
"45";5;"first";0,0398031124516571
"46";5;"back";0,0351769952443515
"47";5;"go";0,0336966377380137
"48";5;"stop";0,0329564589848448
"49";5;"then";0,0301807886604615
"50";5;"ago";0,0261098055180326
"51";6;"so";0,10437552519982
"52";6;"well";0,078775087451877
"53";6;"medicine";0,0783842410740459
"54";6;"work";0,0742803541068183
"55";6;"good";0,0477028004142972
"56";6;"get";0,044380606202732
"57";6;"much";0,0375407945906861
"58";6;"bad";0,0357819858904458
"59";6;"really";0,0252291336890035
"60";6;"as";0,02405659455551
"61";7;"help";0,082309002483019
"62";7;"mood";0,0708173441956865
"63";7;"try";0,0484496521721286
"64";7;"find";0,031827789292237
"65";7;"lithium";0,0250559192300589
"66";7;"thought";0,0238246701278447
"67";7;"make";0,0227986292093329
"68";7;"control";0,0221830046582258
"69";7;"use";0,0205413391886068
"70";7;"mania";0,0197205064537974
"71";8;"very";0,0709561661555152
"72";8;"drug";0,0488410423316851
"73";8;"make";0,0469633431390958
"74";8;"episode";0,0361144144708018
"75";8;"manic";0,0352798814963176
"76";8;"more";0,0275604514823392
"77";8;"only";0,026725918507855
"78";8;"also";0,0244309528280236
"79";8;"month";0,0233877866099184
"80";8;"seem";0,0225532536354343
"81";9;"do";0,0523385520522793
"82";9;"go";0,0424670786361572
"83";9;"think";0,0379262008647411
"84";9;"just";0,03299046415668
"85";9;"time";0,0304238810684883
"86";9;"thing";0,0288444453219087
"87";9;"see";0,0229215612722355
"88";9;"say";0,0225267023355906
"89";9;"never";0,0217369844623008
"90";9;"doctor";0,021342125525656
