"";"document";"topic";"gamma"
"1";"23881";1;0,300529100529101
"2";"65134";1;0,283091787439614
"3";"65054";1;0,27479091995221
"4";"87156";1;0,263459335624284
"5";"228517";1;0,261977573904179
"6";"86886";2;0,270753512132823
"7";"89894";2;0,261977573904179
"8";"116706";2;0,248112189859763
"9";"29492";2;0,234299516908213
"10";"86859";2;0,234299516908213
"11";"102647";3;0,328395061728395
"12";"87133";3;0,293742017879949
"13";"55827";3;0,27283950617284
"14";"116994";3;0,268518518518519
"15";"229685";3;0,256613756613757
"16";"170649";4;0,266117969821674
"17";"78072";4;0,262433862433862
"18";"89947";4;0,250645994832041
"19";"217012";4;0,250544662309368
"20";"102890";4;0,250505050505051
"21";"211772";5;0,42483660130719
"22";"116699";5;0,416433239962652
"23";"48112";5;0,276353276353276
"24";"211645";5;0,26984126984127
"25";"116887";5;0,269005847953216
"26";"161011";6;0,298540965207632
"27";"158096";6;0,237426900584795
"28";"116649";6;0,233521657250471
"29";"23884";6;0,229314420803783
"30";"228747";6;0,223429951690821
"31";"94444";7;0,344546381243629
"32";"224463";7;0,338779956427015
"33";"102369";7;0,335372069317023
"34";"202463";7;0,243628950050968
"35";"211889";7;0,236111111111111
"36";"29185";8;0,229314420803783
"37";"211816";8;0,226495726495727
"38";"170610";8;0,225555555555556
"39";"116654";8;0,224338624338624
"40";"202375";8;0,224171539961014
"41";"212288";9;0,299603174603175
"42";"212360";9;0,264038231780167
"43";"218870";9;0,262433862433862
"44";"121418";9;0,252910052910053
"45";"222825";9;0,248559670781893
