"";"topic";"term";"beta"
"1";1;"hair";0,0313369875780206
"2";1;"blood";0,0286392230438142
"3";1;"migraine";0,0282713460618769
"4";1;"medication";0,0277808434192939
"5";1;"high";0,0227531913328183
"6";1;"loss";0,0223240015205582
"7";1;"happen";0,019013108683123
"8";1;"due";0,0164992826398852
"9";1;"depo";0,0152730260334278
"10";1;"suffer";0,0138628309360017
"11";2;"place";0,0251103689640186
"12";2;"minute";0,0227657433035204
"13";2;"child";0,0199636297092664
"14";2;"procedure";0,0192773978086328
"15";2;"kid";0,0191630258251939
"16";2;"iud";0,0190486538417549
"17";2;"uncomfortable";0,0184767939245602
"18";2;"today";0,0166468421895372
"19";2;"mild";0,0150456344213921
"20";2;"later";0,0145881464876364
"21";3;"look";0,0263677783402684
"22";3;"where";0,0263677783402684
"23";3;"arm";0,0261208312239934
"24";3;"lbs";0,025194779537962
"25";3;"stay";0,0203175739915297
"26";3;"anymore";0,0198854165380484
"27";3;"nexplanon";0,0198854165380484
"28";3;"couldn&#039;t";0,0190211016310857
"29";3;"once";0,0172307350380916
"30";3;"completely";0,016860314363679
"31";4;"crazy";0,0319475669234266
"32";4;"face";0,031087605498839
"33";4;"moody";0,0307190506025873
"34";4;"boyfriend";0,0267877983759014
"35";4;"constantly";0,023900785021929
"36";4;"hate";0,0232865268615094
"37";4;"wait";0,0218737330925441
"38";4;"person";0,0200923844273271
"39";4;"past";0,0199081069792012
"40";4;"begin";0,0178810550498163
"41";5;"patch";0,034109939004266
"42";5;"pack";0,0333154053954944
"43";5;"night";0,0262868388563606
"44";5;"nauseous";0,0256145411873999
"45";5;"stomach";0,0237810020902346
"46";5;"tired";0,0211529293842976
"47";5;"sick";0,020602867655148
"48";5;"already";0,0190138004376047
"49";5;"sleep";0,0165690816413842
"50";5;"third";0,015346722243274
"51";6;"cycle";0,0354619002363721
"52";6;"big";0,0296744401393864
"53";6;"regular";0,0291870750785876
"54";6;"less";0,0280295830591905
"55";6;"super";0,0271157735701928
"56";6;"actually";0,026628408509394
"57";6;"that&#039;";0,0261410434485952
"58";6;"though";0,0224858054926042
"59";6;"irregular";0,0187087262714136
"60";6;"deal";0,0180995199454151
"61";7;"effective";0,0312318102444703
"62";7;"many";0,0275332266201009
"63";7;"there";0,026078046177726
"64";7;"baby";0,0241984381063252
"65";7;"people";0,0199541618160652
"66";7;"form";0,019711631742336
"67";7;"in";0,0194691016686069
"68";7;"worry";0,0189840415211486
"69";7;"method";0,0183777163368258
"70";7;"woman";0,0181351862630966
"71";8;"absolutely";0,0233441173565149
"72";8;"insurance";0,020812753136422
"73";8;"new";0,0199483848661464
"74";8;"full";0,0197631630939445
"75";8;"soon";0,0195779413217426
"76";8;"else";0,0188370542329349
"77";8;"non";0,0169848365109157
"78";8;"worth";0,0169230959201818
"79";8;"small";0,0166761335572459
"80";8;"no";0,0166761335572459
"81";9;"sometimes";0,0324221039265482
"82";9;"increase";0,0312011623363938
"83";9;"like";0,0270499609298691
"84";9;"everyday";0,0259511134987302
"85";9;"easy";0,0254016897831608
"86";9;"remember";0,0239365598749756
"87";9;"nuvaring";0,023203994920883
"88";9;"affect";0,0205789705020512
"89";9;"decrease";0,0181981344012502
"90";9;"size";0,0181981344012502
