"";"document";"topic";"gamma"
"1";"111745";1;0,370851370851371
"2";"83819";1;0,344042838018742
"3";"26065";1;0,331994645247657
"4";"84551";1;0,327160493827161
"5";"59743";1;0,320413436692506
"6";"215808";2;0,384823848238482
"7";"166131";2;0,374201787994891
"8";"166025";2;0,369949494949495
"9";"123738";2;0,362707535121328
"10";"129014";2;0,34045584045584
"11";"106468";3;0,299457994579946
"12";"107681";3;0,260740740740741
"13";"118828";3;0,258852258852259
"14";"226679";3;0,258169934640523
"15";"16278";3;0,253968253968254
"16";"104295";4;0,272855133614627
"17";"6170";4;0,272855133614627
"18";"159270";4;0,260740740740741
"19";"15765";4;0,257716049382716
"20";"68691";4;0,257309941520468
"21";"72670";5;0,356944444444444
"22";"85822";5;0,308980213089802
"23";"73045";5;0,279365079365079
"24";"202895";5;0,277777777777778
"25";"2547";5;0,275430359937402
"26";"104827";6;0,285493827160494
"27";"59654";6;0,250793650793651
"28";"129669";6;0,243827160493827
"29";"14854";6;0,237891737891738
"30";"17463";6;0,236507936507937
"31";"216102";7;0,290809327846365
"32";"227677";7;0,246913580246914
"33";"106263";7;0,244152046783626
"34";"129542";7;0,238482384823848
"35";"129157";7;0,237891737891738
"36";"6814";8;0,289173789173789
"37";"227768";8;0,270753512132823
"38";"2522";8;0,266955266955267
"39";"84897";8;0,254185692541857
"40";"16578";8;0,250841750841751
"41";"9539";8;0,250841750841751
"42";"59713";9;0,331994645247657
"43";"89857";9;0,27994227994228
"44";"60430";9;0,272875816993464
"45";"60309";9;0,271604938271605
"46";"149787";9;0,27008547008547
