"";"topic";"term";"beta"
"1";1;"drink";0,0754048098112485
"2";1;"day";0,0709335377343426
"3";1;"liquid";0,0520903196959535
"4";1;"work";0,042509022388298
"5";1;"clear";0,0377183737344703
"6";1;"use";0,0297339593114241
"7";1;"start";0,0294145827345022
"8";1;"procedure";0,0284564530037367
"9";1;"follow";0,0268595701191275
"10";1;"eat";0,0255820638114401
"11";2;"dose";0,115030996376269
"12";2;"first";0,0874786619148872
"13";2;"take";0,071007157617322
"14";2;"pm";0,0605252912461442
"15";2;"second";0,0590278817645473
"16";2;"start";0,0557335809050343
"17";2;"hour";0,0398610404001078
"18";2;"am";0,0335719205774011
"19";2;"work";0,0221916085172651
"20";2;"morning";0,0185978257614327
"21";3;"be";0,134902540059728
"22";3;"so";0,0803121287049228
"23";3;"good";0,0459522815580746
"24";3;"very";0,0449889213576956
"25";3;"much";0,0376031598214572
"26";3;"well";0,0363186795542853
"27";3;"easy";0,0331074788863556
"28";3;"work";0,028290677884461
"29";3;"try";0,0228316367489804
"30";3;"all";0,0225105166821875
"31";4;"do";0,10653136879143
"32";4;"take";0,103075618108134
"33";4;"only";0,0430712198799912
"34";4;"say";0,0336464452891835
"35";4;"just";0,0330181269831297
"36";4;"think";0,0308190129119412
"37";4;"bottle";0,0305048537589143
"38";4;"now";0,0257924664635104
"39";4;"give";0,0210800791681066
"40";4;"water";0,0198234425559989
"41";5;"water";0,0685784467738711
"42";5;"drink";0,0517266002113621
"43";5;"make";0,0462997343691983
"44";5;"lemon";0,0380166233469481
"45";5;"just";0,0374453743109308
"46";5;"mix";0,0348747536488532
"47";5;"help";0,0340178800948273
"48";5;"straw";0,0268772671446117
"49";5;"sip";0,0260203935905858
"50";5;"cold";0,0254491445545686
"51";6;"taste";0,149137599479305
"52";6;"bad";0,0979556817845626
"53";6;"get";0,0452945179136712
"54";6;"stuff";0,0331646992692524
"55";6;"really";0,0299103576817254
"56";6;"wasn&#039;t";0,0254726191532795
"57";6;"be";0,0207390313896039
"58";6;"hard";0,0207390313896039
"59";6;"didn&#039;t";0,0204431821543741
"60";6;"first";0,0198514836839147
"61";7;"prep";0,122059584309668
"62";7;"have";0,0958887434953288
"63";7;"colonoscopy";0,080673138370713
"64";7;"use";0,0481117434040352
"65";7;"time";0,0475031191990506
"66";7;"other";0,0304616414594809
"67";7;"nausea";0,0298530172544962
"68";7;"when";0,0274185204345577
"69";7;"doctor";0,0228538388971729
"70";7;"year";0,021027966282219
"71";8;"hour";0,0741337394921063
"72";8;"minute";0,0712047098796169
"73";8;"about";0,0591956884684104
"74";8;"then";0,0507015025921912
"75";8;"oz";0,0495298907471955
"76";8;"drink";0,0439647344834656
"77";8;"water";0,0354705486072464
"78";8;"time";0,0345918397234996
"79";8;"go";0,028147974576023
"80";8;"next";0,028147974576023
"81";9;"have";0,13804061620411
"82";9;"go";0,0651009352017191
"83";9;"again";0,0348355073998971
"84";9;"more";0,0336248902878242
"85";9;"night";0,0318089646197149
"86";9;"get";0,0299930389516056
"87";9;"feel";0,0275718047274598
"88";9;"bowel";0,0266638418934052
"89";9;"still";0,0245452619472776
"90";9;"pain";0,0218213734451136
