"";"document";"topic";"gamma"
"1";"99666";1;0,369114877589454
"2";"208004";1;0,316444444444444
"3";"207408";1;0,309792843691149
"4";"99617";1;0,288102261553589
"5";"86506";1;0,284444444444444
"6";"63223";2;0,319958847736626
"7";"208014";2;0,317460317460317
"8";"88660";2;0,292181069958848
"9";"86516";2;0,254960317460317
"10";"197612";2;0,237934904601571
"11";"207775";3;0,268444444444444
"12";"86211";3;0,268444444444444
"13";"88524";3;0,230936819172113
"14";"125479";3;0,228395061728395
"15";"197638";3;0,215762273901809
"16";"207646";4;0,235996326905418
"17";"197627";4;0,233585858585859
"18";"207799";4;0,226495726495727
"19";"24471";4;0,21898597626753
"20";"208001";4;0,209471766848816
"21";"86237";5;0,372069317023445
"22";"207951";5;0,344546381243629
"23";"86387";5;0,338206627680312
"24";"207809";5;0,286868686868687
"25";"207942";5;0,275067750677507
"26";"99724";6;0,25534188034188
"27";"207466";6;0,245726495726496
"28";"99537";6;0,242840778923253
"29";"99595";6;0,230065359477124
"30";"99564";6;0,229491173416407
"31";"99602";7;0,341640706126687
"32";"88548";7;0,296951819075713
"33";"99560";7;0,268686868686869
"34";"63187";7;0,261553588987217
"35";"63146";7;0,250677506775068
"36";"88519";7;0,250677506775068
"37";"207976";8;0,315134099616858
"38";"207929";8;0,270403146509341
"39";"207443";8;0,268444444444444
"40";"99468";8;0,266874350986501
"41";"99655";8;0,246031746031746
"42";"99494";9;0,315555555555556
"43";"113393";9;0,296296296296296
"44";"197659";9;0,285555555555556
"45";"61348";9;0,262962962962963
"46";"60725";9;0,261158594491928
