"";"topic";"term";"beta"
"1";1;"really";0,0588026312773614
"2";1;"weight";0,0584588232597584
"3";1;"gain";0,0463109399711201
"4";1;"lot";0,0390909716014577
"5";1;"lose";0,0378303422035802
"6";1;"say";0,0319856059043297
"7";1;"thing";0,027859909693094
"8";1;"eat";0,0257970615874762
"9";1;"happy";0,0223589814114465
"10";1;"appetite";0,0223589814114465
"11";2;"i&#039;m";0,0574696036808998
"12";2;"still";0,0475782969170242
"13";2;"long";0,0440218720131588
"14";2;"find";0,0343528418057747
"15";2;"as";0,0326857676320878
"16";2;"need";0,0323523527973505
"17";2;"see";0,0291293427282225
"18";2;"how";0,0237947053724244
"19";2;"little";0,0200160039120674
"20";2;"too";0,0175709617906599
"21";3;"notice";0,0491559197564034
"22";3;"mood";0,0436705176428443
"23";3;"energy";0,0273262582840767
"24";3;"seem";0,0271023643202579
"25";3;"difference";0,0228483790077019
"26";3;"however";0,0228483790077019
"27";3;"change";0,0221766971162457
"28";3;"less";0,0217289091886083
"29";3;"increase";0,0212811212609708
"30";3;"positive";0,0197138635142397
"31";4;"night";0,0464901134666399
"32";4;"then";0,0302169018480127
"33";4;"hour";0,0292137586660425
"34";4;"morning";0,0254241066452663
"35";4;"all";0,0248668048775051
"36";4;"wake";0,0245324238168483
"37";4;"couldn&#039;t";0,0243095031097439
"38";4;"able";0,0230834392206692
"39";4;"tired";0,0227490581600125
"40";4;"even";0,0219688356851468
"41";5;"drug";0,0613594434195026
"42";5;"give";0,0580252950721288
"43";5;"experience";0,0512458600991354
"44";5;"med";0,0303518637889262
"45";5;"other";0,0280179599457645
"46";5;"ever";0,027239991998044
"47";5;"few";0,0264620240503234
"48";5;"cause";0,0254617795461113
"49";5;"severe";0,0253506412678655
"50";5;"different";0,024016981928916
"51";6;"dose";0,0549585678202685
"52";6;"symptom";0,0288141977223379
"53";6;"headache";0,0275956042008242
"54";6;"then";0,0227212301147694
"55";6;"few";0,0224996676563123
"56";6;"begin";0,0216134178224842
"57";6;"didn&#039;t";0,0208379492178845
"58";6;"feeling";0,0196193556963708
"59";6;"pain";0,0196193556963708
"60";6;"come";0,0190654495502282
"61";7;"thought";0,0350625361641519
"62";7;"put";0,0346174389104019
"63";7;"suffer";0,0331708728357146
"64";7;"finally";0,0268282369697779
"65";7;"suicidal";0,0244914763875907
"66";7;"old";0,0233787332532158
"67";7;"normal";0,0221547158054035
"68";7;"prescribe";0,0214870699247786
"69";7;"become";0,0199292295366538
"70";7;"ago";0,017703743267904
"71";8;"use";0,0349597698566099
"72";8;"many";0,0275430395109453
"73";8;"attack";0,0265316671910819
"74";8;"other";0,0263069177866679
"75";8;"panic";0,0259697936800467
"76";8;"switch";0,0242841731469412
"77";8;"even";0,0218119296983863
"78";8;"-";0,0211376814851441
"79";8;"prescribe";0,018215939227761
"80";8;"daily";0,0176540657167259
"81";9;"stop";0,0596853758894269
"82";9;"again";0,0474095796676442
"83";9;"think";0,045590943190343
"84";9;"never";0,0435449771533793
"85";9;"tell";0,0292232148946327
"86";9;"nausea";0,0289958853349701
"87";9;"away";0,0246766237013799
"88";9;"know";0,020130032508127
"89";9;"cry";0,0191070494896451
"90";9;"ago";0,0184250608106572
