"";"document";"topic";"gamma"
"1";"83002";1;0,307898259705489
"2";"183342";1;0,289173789173789
"3";"197070";1;0,28380187416332
"4";"171574";1;0,282505910165485
"5";"142109";1;0,275905118601748
"6";"201124";2;0,247863247863248
"7";"126134";2;0,243464052287582
"8";"118471";2;0,242840778923253
"9";"63854";2;0,241426611796982
"10";"96086";2;0,232531500572738
"11";"141921";3;0,259705488621151
"12";"205426";3;0,256313131313131
"13";"186406";3;0,253025302530253
"14";"205665";3;0,253025302530253
"15";"196776";3;0,250591016548463
"16";"225809";3;0,250591016548463
"17";"205462";4;0,332084893882647
"18";"120889";4;0,324183006535948
"19";"177469";4;0,31081742535487
"20";"186196";4;0,309612983770287
"21";"231932";4;0,307048984468339
"22";"121209";5;0,287141073657928
"23";"118413";5;0,247261345852895
"24";"121243";5;0,234299516908213
"25";"195862";5;0,233176838810642
"26";"197453";5;0,230961298377029
"27";"168747";6;0,335697399527187
"28";"141984";6;0,295061728395062
"29";"92743";6;0,276220145379024
"30";"28897";6;0,27283950617284
"31";"55677";6;0,271753681392236
"32";"96149";7;0,300740740740741
"33";"118871";7;0,260740740740741
"34";"102816";7;0,257716049382716
"35";"64581";7;0,256613756613757
"36";"64298";7;0,256313131313131
"37";"178262";8;0,304232804232804
"38";"196838";8;0,293742017879949
"39";"226050";8;0,278463648834019
"40";"125826";8;0,27046783625731
"41";"195911";8;0,266203703703704
"42";"125876";9;0,265359477124183
"43";"205935";9;0,247863247863248
"44";"225527";9;0,232804232804233
"45";"27979";9;0,232531500572738
"46";"93310";9;0,229314420803783
