"";"topic";"term";"beta"
"1";1;"sugar";0,137485272941484
"2";1;"blood";0,0782497709124231
"3";1;"mg";0,0540319413535803
"4";1;"level";0,0442139023432387
"5";1;"metformin";0,0314504516297945
"6";1;"low";0,0304686477287603
"7";1;"high";0,0301413797617489
"8";1;"morning";0,0265414321246236
"9";1;"daily";0,0262141641576123
"10";1;"drop";0,0252323602565781
"11";2;"month";0,0929678588203717
"12";2;"now";0,0892773267127424
"13";2;"go";0,0872643091994901
"14";2;"start";0,0755217070388512
"15";2;"lose";0,0587465610950815
"16";2;"about";0,0500234852043213
"17";2;"then";0,0362678655304301
"18";2;"lbs";0,0329128363416762
"19";2;"be";0,0262027779641683
"20";2;"time";0,0221767429376636
"21";3;"week";0,140672876578012
"22";3;"have";0,0778588062262532
"23";3;"nausea";0,0573293295747028
"24";3;"first";0,0570229194754259
"25";3;"injection";0,0417024145115823
"26";3;"feel";0,0371062630224292
"27";3;"little";0,0309780610368918
"28";3;"appetite";0,030365240838338
"29";3;"stomach";0,0263819095477387
"30";3;"very";0,0254626792499081
"31";4;"take";0,0694628542574007
"32";4;"have";0,068516063876791
"33";4;"medication";0,0511582402322792
"34";4;"time";0,0410591428391088
"35";4;"doctor";0,0382187716972796
"36";4;"year";0,0322224326200846
"37";4;"pain";0,031906835826548
"38";4;"stop";0,0315912390330114
"39";4;"back";0,0306444486524017
"40";4;"do";0,0300132550653285
"41";5;"day";0,133879101039656
"42";5;"take";0,0560605117350433
"43";5;"just";0,0498350245906742
"44";5;"dose";0,0429869887318683
"45";5;"last";0,0308472888003486
"46";5;"have";0,0255556247276349
"47";5;"diarrhea";0,0246218016559796
"48";5;"i&#039;m";0,0236879785843242
"49";5;"few";0,0227541555126689
"50";5;"try";0,0218203324410135
"51";5;"even";0,0218203324410135
"52";6;"be";0,080716787590693
"53";6;"use";0,0625781836377283
"54";6;"get";0,0572616962722041
"55";6;"more";0,0469414560920691
"56";6;"insulin";0,0306792594445834
"57";6;"go";0,0272391793845384
"58";6;"only";0,0269264448336252
"59";6;"know";0,0253627720790593
"60";6;"help";0,0241118338754066
"61";6;"never";0,0237990993244934
"62";7;"weight";0,0781123623467928
"63";7;"so";0,0746904747091396
"64";7;"eat";0,0737572326261432
"65";7;"lose";0,0628694083245194
"66";7;"loss";0,0445156473589249
"67";7;"pound";0,0398494369439433
"68";7;"good";0,0333167423629689
"69";7;"feel";0,0326945809743047
"70";7;"really";0,0302059354196479
"71";7;"food";0,027717289864991
"72";8;"side";0,103337026657108
"73";8;"effect";0,103011145147624
"74";8;"work";0,0661865345760282
"75";8;"well";0,0495665775923874
"76";8;"medicine";0,0410936583458255
"77";8;"also";0,0371830802320276
"78";8;"other";0,031643094570814
"79";8;"experience";0,0306654500423646
"80";8;"very";0,0264289904190836
"81";8;"great";0,0261031089096005
"82";9;"be";0,181573347519617
"83";9;"have";0,0625415613778428
"84";9;"take";0,0459170102407235
"85";9;"drug";0,0366072616039367
"86";9;"make";0,0359422795584519
"87";9;"year";0,0319523872855433
"88";9;"when";0,0316198962628009
"89";9;"control";0,029957441149089
"90";9;"bad";0,0229751296714989
"91";9;"want";0,0206476925123022
"92";9;"find";0,0206476925123022
