"";"document";"topic";"gamma"
"1";"11381";1;0,27457264957265
"2";"11779";1;0,228395061728395
"3";"178802";1;0,224338624338624
"4";"209969";1;0,221132897603486
"5";"76014";1;0,221132897603486
"6";"178923";2;0,277777777777778
"7";"159587";2;0,268518518518519
"8";"178991";2;0,260196905766526
"9";"198419";2;0,22663139329806
"10";"142153";2;0,226155358898722
"11";"11840";3;0,365209471766849
"12";"156646";3;0,365209471766849
"13";"13875";3;0,348148148148148
"14";"11776";3;0,253433208489388
"15";"156657";3;0,253433208489388
"16";"184539";4;0,295281582952816
"17";"79583";4;0,28158295281583
"18";"86394";4;0,267676767676768
"19";"230096";4;0,267529665587918
"20";"189845";4;0,261728395061728
"21";"156764";5;0,321256038647343
"22";"11565";5;0,27479091995221
"23";"11850";5;0,266908212560386
"24";"82071";5;0,263888888888889
"25";"11867";5;0,255787037037037
"26";"13956";6;0,342690058479532
"27";"198452";6;0,321637426900585
"28";"184835";6;0,262433862433862
"29";"189850";6;0,255555555555556
"30";"86598";6;0,253285543608124
"31";"82481";7;0,291005291005291
"32";"198358";7;0,277777777777778
"33";"179010";7;0,275555555555556
"34";"13845";7;0,270975056689342
"35";"82497";7;0,265555555555556
"36";"12924";8;0,25894538606403
"37";"120486";8;0,250793650793651
"38";"110912";8;0,242197253433208
"39";"148375";8;0,241996233521657
"40";"178572";8;0,238482384823848
"41";"81986";9;0,26440329218107
"42";"178681";9;0,255144032921811
"43";"82601";9;0,250566893424036
"44";"105347";9;0,240362811791383
"45";"120534";9;0,222222222222222
