"";"topic";"term";"beta"
"1";1;"work";0,119571177889888
"2";1;"plan";0,106958762886598
"3";1;"sex";0,0630894933099364
"4";1;"b";0,0578800175477078
"5";1;"pregnant";0,0397839438473349
"6";1;"unprotected";0,0367679315639395
"7";1;"know";0,0364937486290853
"8";1;"say";0,0359453827593771
"9";1;"ovulate";0,0359453827593771
"10";1;"ovulation";0,0343002851502522
"11";2;"hour";0,104430379746835
"12";2;"week";0,0836038082873526
"13";2;"about";0,0746781348047171
"14";2;"later";0,0717029103105052
"15";2;"very";0,0524991885751379
"16";2;"cycle";0,0354592664719247
"17";2;"then";0,0346478416098669
"18";2;"few";0,0303202423455588
"19";2;"early";0,0297792924375203
"20";2;"experience";0,0278859677593855
"21";3;"sex";0,0668562907323539
"22";3;"come";0,0574671379653153
"23";3;"unprotected";0,0524964100298244
"24";3;"stress";0,0500110460620789
"25";3;"review";0,0433834088147575
"26";3;"read";0,0400695901910969
"27";3;"just";0,0328896498398321
"28";3;"worry";0,0304042858720866
"29";3;"here";0,0279189219043411
"30";3;"try";0,021015133105048
"31";4;"didn&#039;t";0,0698910228744066
"32";4;"just";0,0591012084592145
"33";4;"do";0,0545155373327579
"34";4;"when";0,0469626672421234
"35";4;"i&#039;m";0,040758523953388
"36";4;"sex";0,0375215796288304
"37";4;"little";0,0261922744928787
"38";4;"sure";0,0256527837721191
"39";4;"wasn&#039;t";0,0248435476909797
"40";4;"hour";0,0240343116098403
"41";5;"cramp";0,0721312391705327
"42";5;"feel";0,0701749482980269
"43";5;"start";0,0472583980772455
"44";5;"bad";0,0455815773293835
"45";5;"never";0,0335643619697054
"46";5;"so";0,029651780224694
"47";5;"pain";0,0268570789782572
"48";5;"back";0,0260186686043262
"49";5;"lot";0,0237829076071768
"50";5;"morning";0,0232239673578894
"51";6;"week";0,0742164399763453
"52";6;"come";0,0699155959357024
"53";6;"pregnancy";0,0554002472985324
"54";6;"late";0,0532498252782108
"55";6;"test";0,0457233482070856
"56";6;"last";0,0400784904037417
"57";6;"next";0,0352400408580184
"58";6;"symptom";0,0344336326003978
"59";6;"again";0,0250255362614913
"60";6;"first";0,0247567335089511
"61";7;"go";0,0679062030478644
"62";7;"now";0,0434910925091221
"63";7;"right";0,0378568362309508
"64";7;"use";0,0341006653788367
"65";7;"still";0,033027473706804
"66";7;"birth";0,0306127924447306
"67";7;"control";0,0298078986907062
"68";7;"month";0,0292713028546898
"69";7;"end";0,0241736424125349
"70";7;"good";0,0228321528224941
"71";8;"so";0,159985066911722
"72";8;"condom";0,0784274309344667
"73";8;"break";0,0551662741944748
"74";8;"boyfriend";0,054879099419907
"75";8;"freak";0,0428177588880593
"76";8;"later";0,0336281661018896
"77";8;"buy";0,0298948940325082
"78";8;"scared";0,0241513985411521
"79";8;"wait";0,0221411751191775
"80";8;"happy";0,0218540003446097
"81";9;"time";0,142749834745508
"82";9;"side";0,0973799651463253
"83";9;"effect";0,0937744125953969
"84";9;"work";0,0429962141698215
"85";9;"other";0,0276726158283757
"86";9;"more";0,0234661378522925
"87";9;"first";0,0225647497145604
"88";9;"as";0,0216633615768283
"89";9;"long";0,0195601225887867
"90";9;"second";0,0171564208881678
