"";"topic";"term";"beta"
"1";1;"mg";0,102393617021277
"2";1;"start";0,0584703417150226
"3";1;"day";0,0544406834300451
"4";1;"experience";0,0443665377176016
"5";1;"month";0,0415457769181173
"6";1;"week";0,0359042553191489
"7";1;"dose";0,0322775628626692
"8";1;"bp";0,0318745970341715
"9";1;"first";0,0290538362346873
"10";1;"daily";0,0266360412637008
"11";2;"have";0,105940111985718
"12";2;"pain";0,0535989612918932
"13";2;"bad";0,0430495820822852
"14";2;"cause";0,036557656414834
"15";2;"drug";0,0288484946847359
"16";2;"leg";0,0284427493305202
"17";2;"med";0,0268197679136574
"18";2;"severe";0,0264140225594417
"19";2;"foot";0,0235738050799318
"20";2;"new";0,0191106061835592
"21";3;"be";0,19043431717388
"22";3;"now";0,0753555589539685
"23";3;"go";0,0470637712188408
"24";3;"i&#039;m";0,025653769689555
"25";3;"weight";0,0245068053219147
"26";3;"notice";0,0214482336748738
"27";3;"tired";0,0203012693072335
"28";3;"gain";0,018389662027833
"29";3;"also";0,0176250191160728
"30";3;"never";0,0168603762043126
"31";4;"effect";0,148738432334098
"32";4;"side";0,140828917187376
"33";4;"work";0,0819030293443012
"34";4;"other";0,0490785414854069
"35";4;"only";0,0403780748240133
"36";4;"try";0,0253499960452424
"37";4;"month";0,0198133354425374
"38";4;"switch";0,0194178596852013
"39";4;"use";0,0190223839278652
"40";4;"many";0,0166495293838488
"41";5;"take";0,158510059815117
"42";5;"medicine";0,0781092208498407
"43";5;"feel";0,0781092208498407
"44";5;"make";0,0408218752427562
"45";5;"so";0,0369377767420182
"46";5;"as";0,0252854812398042
"47";5;"time";0,023731841839509
"48";5;"hour";0,0229550221393615
"49";5;"dizzy";0,0206245630389187
"50";5;"then";0,0198477433387711
"51";6;"doctor";0,0774663846502493
"52";6;"have";0,0680238706753286
"53";6;"day";0,062736062849373
"54";6;"go";0,0525381477564587
"55";6;"do";0,0374301253965856
"56";6;"week";0,0359193231605983
"57";6;"back";0,0347862214836078
"58";6;"time";0,0310092158936395
"59";6;"stop";0,0242106058316966
"60";6;"say";0,0242106058316966
"61";7;"medication";0,0871863148551602
"62";7;"get";0,0694343581053821
"63";7;"very";0,0561203905430485
"64";7;"heart";0,0532962156055838
"65";7;"have";0,0460340514806746
"66";7;"well";0,0355442588558057
"67";7;"low";0,0347373517308158
"68";7;"just";0,0258613733559267
"69";7;"rate";0,0254579197934318
"70";7;"find";0,0242475591059469
"71";8;"pressure";0,245032850470989
"72";8;"blood";0,235533919100768
"73";8;"high";0,069302620121903
"74";8;"good";0,036847937940315
"75";8;"well";0,0344732050977598
"76";8;"control";0,0313068946410195
"77";8;"try";0,0182458640069659
"78";8;"far";0,0182458640069659
"79";8;"great";0,0158711311644107
"80";8;"average";0,0146837647431331
"81";8;"bring";0,0146837647431331
"82";9;"year";0,12867824409069
"83";9;"take";0,0816449589966233
"84";9;"about";0,0535053867181219
"85";9;"so";0,0450635150345715
"86";9;"be";0,0386316127994854
"87";9;"when";0,0326017044540923
"88";9;"last";0,023757838880849
"89";9;"normal";0,0221498633220775
"90";9;"use";0,0217478694323846
"91";9;"old";0,0181299244251487
