"";"document";"topic";"gamma"
"1";"41661";1;0,264038231780167
"2";"120732";1;0,250677506775068
"3";"214829";1;0,236270753512133
"4";"32513";1;0,222222222222222
"5";"32388";1;0,21898597626753
"6";"65111";2;0,27953216374269
"7";"189032";2;0,275905118601748
"8";"113996";2;0,258169934640523
"9";"198052";2;0,250591016548463
"10";"114052";2;0,250505050505051
"11";"186731";3;0,269444444444444
"12";"44737";3;0,265555555555556
"13";"208636";3;0,250591016548463
"14";"113843";3;0,248182762201454
"15";"188992";3;0,244444444444444
"16";"103447";4;0,285565939771547
"17";"194247";4;0,266874350986501
"18";"34358";4;0,23883696780893
"19";"41893";4;0,229755178907721
"20";"182582";4;0,225442834138486
"21";"136312";5;0,270403146509341
"22";"2715";5;0,239506172839506
"23";"113841";5;0,223322332233223
"24";"154485";5;0,223232323232323
"25";"120016";5;0,222222222222222
"26";"113979";6;0,302530253025303
"27";"32280";6;0,224171539961014
"28";"32313";6;0,216374269005848
"29";"194240";6;0,213421342134213
"30";"42382";6;0,211512717536814
"31";"124642";7;0,307849133537207
"32";"197965";7;0,285529715762274
"33";"32295";7;0,23883696780893
"34";"53336";7;0,229080932784637
"35";"116184";7;0,226287262872629
"36";"208562";8;0,250544662309368
"37";"32604";8;0,217247097844113
"38";"76499";8;0,210950080515298
"39";"70060";8;0,208994708994709
"40";"119899";8;0,207407407407407
"41";"32569";9;0,255555555555556
"42";"32496";9;0,233585858585859
"43";"214825";9;0,222222222222222
"44";"194307";9;0,215762273901809
"45";"12016";9;0,204678362573099
