"";"document";"topic";"gamma"
"1";"231548";1;0,266908212560386
"2";"203798";1;0,242840778923253
"3";"208794";1;0,242840778923253
"4";"21349";1;0,231944444444444
"5";"170859";1;0,226287262872629
"6";"223553";2;0,245555555555556
"7";"71579";2;0,231780167264038
"8";"208911";2;0,229080932784637
"9";"171028";2;0,228395061728395
"10";"96843";2;0,226900584795322
"11";"208988";3;0,260348583877996
"12";"208856";3;0,257257257257257
"13";"99282";3;0,243827160493827
"14";"127323";3;0,235690235690236
"15";"8307";3;0,227366255144033
"16";"20843";4;0,296655879180151
"17";"222156";4;0,288647342995169
"18";"222164";4;0,286947141316073
"19";"208791";4;0,275430359937402
"20";"210684";4;0,250712250712251
"21";"210614";5;0,271151885830785
"22";"163471";5;0,25782092772384
"23";"172495";5;0,253285543608124
"24";"219777";5;0,248035914702581
"25";"208996";5;0,233176838810642
"26";"8322";6;0,287037037037037
"27";"172323";6;0,285543608124253
"28";"170500";6;0,235555555555556
"29";"8145";6;0,229080932784637
"30";"173055";6;0,223232323232323
"31";"96801";7;0,277777777777778
"32";"8552";7;0,275555555555556
"33";"97129";7;0,275555555555556
"34";"170175";7;0,264957264957265
"35";"97120";7;0,239018087855297
"36";"119806";8;0,254700854700855
"37";"119797";8;0,247657295850067
"38";"66926";8;0,239506172839506
"39";"8237";8;0,234074074074074
"40";"8469";8;0,231944444444444
"41";"132278";9;0,261977573904179
"42";"16880";9;0,244949494949495
"43";"196313";9;0,226287262872629
"44";"179332";9;0,222222222222222
"45";"96839";9;0,217283950617284
