"";"topic";"term";"beta"
"1";1;"migraine";0,116805080605765
"2";1;"work";0,089447972642892
"3";1;"try";0,0791890571568149
"4";1;"only";0,0782120175867122
"5";1;"time";0,0679531021006351
"6";1;"take";0,0449926722032242
"7";1;"good";0,0386419149975574
"8";1;"help";0,0361993160723009
"9";1;"well";0,0244748412310699
"10";1;"have";0,0176355642403517
"11";2;"take";0,132406971267075
"12";2;"get";0,0937823834196891
"13";2;"when";0,0688177107866227
"14";2;"make";0,0490343853038154
"15";2;"dose";0,035374470089496
"16";2;"first";0,0349034385303815
"17";2;"still";0,0344324069712671
"18";2;"mg";0,0330193122939237
"19";2;"relief";0,0264248704663212
"20";2;"really";0,017004239284032
"21";3;"migraine";0,118000947418285
"22";3;"take";0,060208432022738
"23";3;"be";0,0531027948839412
"24";3;"just";0,0493131217432497
"25";3;"come";0,0445760303173851
"26";3;"as";0,0417337754618664
"27";3;"back";0,0403126480341071
"28";3;"few";0,0298910468972051
"29";3;"also";0,0294173377546187
"30";3;"thing";0,0284699194694458
"31";4;"feel";0,106155259531465
"32";4;"give";0,0629765732659623
"33";4;"bad";0,057923748277446
"34";4;"go";0,0455213596692696
"35";4;"so";0,0266881028938907
"36";4;"ever";0,0266881028938907
"37";4;"think";0,0262287551676619
"38";4;"experience";0,0225539733578319
"39";4;"never";0,0211759301791456
"40";4;"tell";0,0211759301791456
"41";5;"effect";0,114818401937046
"42";5;"hour";0,106101694915254
"43";5;"side";0,104648910411622
"44";5;"go";0,0741404358353511
"45";5;"migraine";0,0596125907990315
"46";5;"then";0,0291041162227603
"47";5;"all";0,015544794188862
"48";5;"neurologist";0,015544794188862
"49";5;"at";0,0145762711864407
"50";5;"medicine";0,0131234866828087
"51";5;"wonder";0,0131234866828087
"52";5;"second";0,0131234866828087
"53";6;"be";0,161606313834726
"54";6;"medication";0,0678272980501393
"55";6;"so";0,0599350046425255
"56";6;"suffer";0,0580779944289694
"57";6;"life";0,0520427112349118
"58";6;"prescribe";0,0339368616527391
"59";6;"work";0,0320798514391829
"60";6;"much";0,0311513463324048
"61";6;"drug";0,0246518105849582
"62";6;"migraine";0,0241875580315692
"63";7;"have";0,153600381497377
"64";7;"day";0,0916070577014783
"65";7;"headache";0,087792083929423
"66";7;"month";0,0534573199809251
"67";7;"very";0,0424892703862661
"68";7;"start";0,0334287076776347
"69";7;"get";0,0300906056270863
"70";7;"didn&#039;t";0,0243681449690033
"71";7;"last";0,0229375298044826
"72";7;"more";0,0229375298044826
"73";8;"pain";0,10672753483902
"74";8;"migraine";0,104324843825084
"75";8;"minute";0,0711677078327727
"76";8;"about";0,048582412301778
"77";8;"doctor";0,0428159538683325
"78";8;"even";0,0332051898125901
"79";8;"little";0,0274387313791446
"80";8;"try";0,0240749639596348
"81";8;"injection";0,0216722729456992
"82";8;"severe";0,0211917347429121
"83";9;"have";0,0738734419942474
"84";9;"year";0,0695589645254075
"85";9;"use";0,0662032598274209
"86";9;"now";0,0623681687440077
"87";9;"medicine";0,0561361457334612
"88";9;"other";0,0446308724832215
"89";9;"pill";0,0441514860977948
"90";9;"work";0,0388782358581016
"91";9;"great";0,0307286673058485
"92";9;"find";0,0288111217641419
