"";"document";"topic";"gamma"
"1";"164332";1;0,268686868686869
"2";"1740";1;0,258852258852259
"3";"209374";1;0,225885225885226
"4";"20282";1;0,223232323232323
"5";"223988";1;0,209277238403452
"6";"1129";2;0,243124312431243
"7";"27215";2;0,243124312431243
"8";"50581";2;0,232531500572738
"9";"1757";2;0,216735253772291
"10";"154375";2;0,214814814814815
"11";"193172";3;0,267884322678843
"12";"209431";3;0,232323232323232
"13";"193630";3;0,227390180878553
"14";"168251";3;0,218676122931442
"15";"27338";3;0,212788259958071
"16";"154248";4;0,342690058479532
"17";"127011";4;0,342134213421342
"18";"126946";4;0,329218106995885
"19";"134750";4;0,325995807127883
"20";"127008";4;0,322949117341641
"21";"22459";5;0,229080932784637
"22";"47976";5;0,229080932784637
"23";"168363";5;0,228927203065134
"24";"1706";5;0,218637992831541
"25";"209361";5;0,218637992831541
"26";"82727";6;0,262433862433862
"27";"168183";6;0,252910052910053
"28";"138225";6;0,252803261977574
"29";"136101";6;0,233862433862434
"30";"230766";6;0,209563994374121
"31";"96740";7;0,308531746031746
"32";"168184";7;0,277124183006536
"33";"22436";7;0,231944444444444
"34";"48014";7;0,231944444444444
"35";"82728";7;0,230065359477124
"36";"205229";8;0,263532763532764
"37";"120568";8;0,235004916420846
"38";"52913";8;0,230065359477124
"39";"48155";8;0,226788432267884
"40";"1341";8;0,22477650063857
"41";"136211";9;0,231656184486373
"42";"126672";9;0,223931623931624
"43";"27281";9;0,212788259958071
"44";"126659";9;0,208037825059102
"45";"209431";9;0,205050505050505
