"";"topic";"term";"beta"
"1";1;"only";0,0716094111484569
"2";1;"time";0,0698633724737003
"3";1;"now";0,0587323759221267
"4";1;"good";0,0395259504998036
"5";1;"drink";0,0390894408311144
"6";1;"far";0,0347243441442228
"7";1;"water";0,0314505216290541
"8";1;"lot";0,0307957571260203
"9";1;"night";0,0294862281199529
"10";1;"sleep";0,0244663669300275
"11";2;"go";0,08080919256846
"12";2;"i&#039;m";0,0693625077044994
"13";2;"get";0,0517522232984063
"14";2;"now";0,0493308091925685
"15";2;"much";0,0444879809808928
"16";2;"long";0,0310601391212468
"17";2;"energy";0,0284185964603328
"18";2;"as";0,0277582107951043
"19";2;"do";0,0270978251298758
"20";2;"how";0,0240160253588095
"21";3;"loss";0,0564547880484711
"22";3;"month";0,0492366245242574
"23";3;"dose";0,0474867667002056
"24";3;"stop";0,0413622643160243
"25";3;"appetite";0,0378625486679207
"26";3;"about";0,0334879041077912
"27";3;"very";0,0304256529157006
"28";3;"go";0,0293319917756682
"29";3;"drug";0,0262697405835776
"30";3;"mg";0,0262697405835776
"31";4;"eat";0,163839993147458
"32";4;"food";0,0556983168444045
"33";4;"make";0,0351406912501606
"34";4;"still";0,026789155852499
"35";4;"even";0,0261467300526789
"36";4;"notice";0,0244335945864919
"37";4;"craving";0,0242194526532185
"38";4;"hungry";0,0235770268533984
"39";4;"healthy";0,0186517623881108
"40";4;"meal";0,0180093365882907
"41";4;"when";0,0180093365882907
"42";5;"feel";0,117388810448288
"43";5;"nausea";0,0478953406283092
"44";5;"first";0,0397326156018355
"45";5;"headache";0,0370852453229792
"46";5;"bad";0,0302462054359336
"47";5;"think";0,0275988351570773
"48";5;"well";0,0240690081186022
"49";5;"continue";0,0238483939286975
"50";5;"constipation";0,0234071655488881
"51";5;"few";0,0223040945993646
"52";6;"medication";0,0666192508297771
"53";6;"help";0,0547652916073969
"54";6;"doctor";0,0375231691021165
"55";6;"give";0,0366610629768524
"56";6;"use";0,0336436915384284
"57";6;"other";0,0317039527565843
"58";6;"also";0,0299797405060563
"59";6;"medicine";0,0217897323160481
"60";6;"insurance";0,018556834346308
"61";6;"never";0,017479201689728
"62";7;"pound";0,112601570656861
"63";7;"more";0,0526805574470017
"64";7;"exercise";0,0465522720050842
"65";7;"today";0,0424667483771392
"66";7;"see";0,0370193835398793
"67";7;"down";0,0324799128421626
"68";7;"just";0,027940442144446
"69";7;"all";0,027940442144446
"70";7;"at";0,0272595215397885
"71";7;"calorie";0,0268055744700168
"72";8;"work";0,0897524816853786
"73";8;"pill";0,0719797130348086
"74";8;"just";0,0520395335731934
"75";8;"really";0,0494386405999393
"76";8;"try";0,034916988165937
"77";8;"then";0,0331830595171009
"78";8;"want";0,0329663184359964
"79";8;"say";0,0327495773548918
"80";8;"do";0,0305821665438467
"81";8;"hope";0,0297152022194287
"82";9;"lbs";0,0825242718446602
"83";9;"diet";0,0548783142496408
"84";9;"month";0,0540075754277504
"85";9;"year";0,0453001872088467
"86";9;"back";0,0394227001610867
"87";9;"great";0,0331098437023815
"88";9;"gain";0,0287561495929296
"89";9;"high";0,0209195001959162
"90";9;"old";0,0200487613740259
"91";9;"weigh";0,0193957072576081
