"";"document";"topic";"gamma"
"1";"55225";1;0,355555555555556
"2";"39644";1;0,305555555555556
"3";"128529";1;0,247097844112769
"4";"77377";1;0,23883696780893
"5";"165028";1;0,227430555555556
"6";"100947";2;0,303155006858711
"7";"46868";2;0,266117969821674
"8";"81791";2;0,226900584795322
"9";"112321";2;0,225885225885226
"10";"45869";2;0,224537037037037
"11";"164836";3;0,332294911734164
"12";"76915";3;0,253025302530253
"13";"4571";3;0,250566893424036
"14";"127402";3;0,239239239239239
"15";"219293";3;0,239239239239239
"16";"77015";4;0,282505910165485
"17";"127621";4;0,277777777777778
"18";"77185";4;0,270152505446623
"19";"54777";4;0,269392033542977
"20";"100946";4;0,256038647342995
"21";"54880";5;0,328976034858388
"22";"54828";5;0,312431243124312
"23";"39384";5;0,299564270152505
"24";"54759";5;0,284077892325315
"25";"40062";5;0,263459335624284
"26";"54971";6;0,397715472481828
"27";"39445";6;0,369678089304258
"28";"225928";6;0,305236270753512
"29";"81698";6;0,297157622739018
"30";"32181";6;0,282247765006386
"31";"127569";7;0,2737686139748
"32";"128153";7;0,222222222222222
"33";"46034";7;0,218637992831541
"34";"185469";7;0,207407407407407
"35";"39648";7;0,206172839506173
"36";"108382";8;0,27457264957265
"37";"40039";8;0,27457264957265
"38";"76660";8;0,255144032921811
"39";"55405";8;0,240740740740741
"40";"128421";8;0,236111111111111
"41";"37958";9;0,265555555555556
"42";"39462";9;0,255555555555556
"43";"76233";9;0,25534188034188
"44";"165292";9;0,247863247863248
"45";"82172";9;0,243124312431243
