"";"topic";"term";"beta"
"1";1;"make";0,0653957985651119
"2";1;"when";0,0629871135350894
"3";1;"give";0,0512877862464085
"4";1;"bad";0,0442337800870568
"5";1;"time";0,0320183060062282
"6";1;"get";0,0316742081447964
"7";1;"headache";0,0296096209762056
"8";1;"migraine";0,0272009359461831
"9";1;"all";0,0213512723018426
"10";1;"at";0,0211792233711268
"11";2;"go";0,0845291820901577
"12";2;"do";0,0718523401450231
"13";2;"so";0,0515693930328077
"14";2;"much";0,0378784037320623
"15";2;"still";0,0324696178354715
"16";2;"doctor";0,0275679056166861
"17";2;"really";0,0250325372276592
"18";2;"know";0,0233422916349746
"19";2;"try";0,0226661933979007
"20";2;"never";0,0214830214830215
"21";3;"mg";0,0944804491611549
"22";3;"dose";0,0375022907885311
"23";3;"start";0,033670426336571
"24";3;"so";0,0288389450710561
"25";3;"many";0,0271729170484648
"26";3;"need";0,0258400946303917
"27";3;"try";0,0251736834213551
"28";3;"just";0,0238408610032821
"29";3;"med";0,0233410525965047
"30";3;"control";0,0173433517151758
"31";4;"relief";0,0669449571352181
"32";4;"only";0,0655650043985993
"33";4;"time";0,0631500871095165
"34";4;"hour";0,0605626757283563
"35";4;"give";0,0400358787711521
"36";4;"pill";0,0360685146533731
"37";4;"last";0,0269263277732738
"38";4;"more";0,0236489400238042
"39";4;"long";0,0229589636554948
"40";4;"seem";0,021061528642644
"41";5;"get";0,0558379132711955
"42";5;"sleep";0,0468790379546198
"43";5;"feel";0,0461898936994986
"44";5;"week";0,0417104560412108
"45";5;"night";0,0351635856175594
"46";5;"about";0,0346467274262185
"47";5;"first";0,0332684389159761
"48";5;"just";0,0258601381734231
"49";5;"very";0,0237927054080595
"50";5;"great";0,0220698447702565
"51";6;"help";0,0761841044379257
"52";6;"severe";0,0559415367196748
"53";6;"surgery";0,0547407064313039
"54";6;"also";0,0514813099342974
"55";6;"doctor";0,0483934606213439
"56";6;"prescribe";0,0437616866519136
"57";6;"nerve";0,0296948175595698
"58";6;"put";0,0260923266944573
"59";6;"neck";0,0245484020379805
"60";6;"shoulder";0,0207743639888151
"61";7;"effect";0,0918209742637489
"62";7;"side";0,0788053381462264
"63";7;"other";0,0534682331707825
"64";7;"patch";0,0506915641323777
"65";7;"then";0,0177186193013207
"66";7;"good";0,016156742967218
"67";7;"-";0,0152890338927164
"68";7;"great";0,012165281224511
"69";7;"constipation";0,0119917394096107
"70";7;"however";0,0112975721500095
"71";8;"medication";0,0814691886949012
"72";8;"use";0,0743569336020185
"73";8;"very";0,0467546102653548
"74";8;"find";0,0387956581376052
"75";8;"good";0,0387956581376052
"76";8;"drug";0,0381183005097116
"77";8;"more";0,0252485055797335
"78";8;"as";0,0216923780332921
"79";8;"most";0,0208456809984251
"80";8;"effective";0,020337662777505
"81";9;"now";0,0769734579928937
"82";9;"medicine";0,0674766263324219
"83";9;"life";0,047991747580764
"84";9;"month";0,0455356704271937
"85";9;"i&#039;m";0,0299805151212483
"86";9;"disc";0,0293255612136296
"87";9;"able";0,0293255612136296
"88";9;"low";0,0288343457829155
"89";9;"chronic";0,0247408838602983
"90";9;"daily";0,022284806706728
