"";"document";"topic";"gamma"
"1";"190052";1;0,322332233223322
"2";"134637";1;0,320413436692506
"3";"190496";1;0,312431243124312
"4";"193899";1;0,277238403451996
"5";"134652";1;0,250591016548463
"6";"19945";2;0,271867612293144
"7";"92260";2;0,271867612293144
"8";"189661";2;0,264038231780167
"9";"180448";2;0,248112189859763
"10";"189650";2;0,231656184486373
"11";"218764";3;0,30787037037037
"12";"93589";3;0,260348583877996
"13";"23530";3;0,253433208489388
"14";"193764";3;0,247863247863248
"15";"57298";3;0,239506172839506
"16";"126829";4;0,261229314420804
"17";"93577";4;0,254960317460317
"18";"126865";4;0,253150057273769
"19";"20720";4;0,247863247863248
"20";"43414";4;0,242532855436081
"21";"20694";5;0,266908212560386
"22";"41396";5;0,265359477124183
"23";"82524";5;0,261728395061728
"24";"220006";5;0,257528556593977
"25";"117693";5;0,253150057273769
"26";"25297";6;0,259958071278826
"27";"49779";6;0,250617283950617
"28";"41224";6;0,247097844112769
"29";"97543";6;0,243827160493827
"30";"43295";6;0,240981240981241
"31";"134296";7;0,275555555555556
"32";"134285";7;0,270975056689342
"33";"22759";7;0,267529665587918
"34";"36695";7;0,264038231780167
"35";"36705";7;0,262926292629263
"36";"23131";8;0,369678089304258
"37";"27027";8;0,295555555555556
"38";"47473";8;0,285555555555556
"39";"20567";8;0,275555555555556
"40";"151244";8;0,268518518518519
"41";"5855";9;0,266955266955267
"42";"189654";9;0,264038231780167
"43";"183450";9;0,261229314420804
"44";"23482";9;0,244152046783626
"45";"151134";9;0,243464052287582
