"";"topic";"term";"beta"
"1";1;"try";0,100668458911575
"2";1;"use";0,0643391702390467
"3";1;"month";0,0625227058054203
"4";1;"free";0,0519872120903873
"5";1;"year";0,0505340405434862
"6";1;"give";0,0378187895081014
"7";1;"patch";0,0363656179612003
"8";1;"work";0,0330959819806728
"9";1;"again";0,032006103320497
"10";1;"thank";0,0261934171328925
"11";2;"be";0,218595275144999
"12";2;"time";0,0735959824586221
"13";2;"year";0,0682911302871693
"14";2;"when";0,0569741123214033
"15";2;"smoker";0,052730230584241
"16";2;"stop";0,0456570943556373
"17";2;"last";0,0293888810298486
"18";2;"month";0,0272669401612675
"19";2;"week";0,0251449992926864
"20";2;"second";0,0216084311783845
"21";3;"feel";0,093430186788807
"22";3;"dream";0,0640878837758534
"23";3;"more";0,0469119015243684
"24";3;"very";0,0444070707793602
"25";3;"good";0,0386817433621985
"26";3;"have";0,0293780863093108
"27";3;"so";0,0261575896371574
"28";3;"do";0,0254419237100122
"29";3;"be";0,0250840907464396
"30";3;"long";0,0232949259285765
"31";4;"cigarette";0,0775692035638985
"32";4;"work";0,0524042712371625
"33";4;"think";0,0503638713187785
"34";4;"make";0,0483234714003945
"35";4;"have";0,0459430048289465
"36";4;"even";0,0411820716860505
"37";4;"didn&#039;t";0,0411820716860505
"38";4;"take";0,0337006053186425
"39";4;"all";0,0262191389512344
"40";4;"so";0,0221383391144664
"41";5;"have";0,110733552862047
"42";5;"still";0,0630911511245008
"43";5;"now";0,0455755622504029
"44";5;"craving";0,0424227562530652
"45";5;"start";0,0385693267007637
"46";5;"also";0,0319134029286065
"47";5;"so";0,0266587262663771
"48";5;"decide";0,0259581027114132
"49";5;"i&#039;m";0,0256077909339312
"50";5;"much";0,0252574791564492
"51";6;"week";0,119247979696788
"52";6;"take";0,112903225806452
"53";6;"first";0,0598076537767982
"54";6;"pill";0,0421091297669138
"55";6;"stop";0,0310892940626461
"56";6;"bad";0,0257463434181527
"57";6;"few";0,0257463434181527
"58";6;"nausea";0,025078474587591
"59";6;"now";0,0240766713417485
"60";6;"get";0,0224069992653443
"61";7;"quit";0,123631481098947
"62";7;"year";0,0578737175514701
"63";7;"want";0,0575294360669283
"64";7;"really";0,0530537767678854
"65";7;"get";0,0502995248915513
"66";7;"do";0,0499552434070096
"67";7;"help";0,0354954210562556
"68";7;"just";0,0341182951180885
"69";7;"never";0,0337740136335468
"70";7;"be";0,0275769469117951
"71";7;"ago";0,0275769469117951
"72";8;"day";0,271441172479305
"73";8;"pack";0,078402768353915
"74";8;"start";0,0502442665219161
"75";8;"go";0,0471909349979645
"76";8;"just";0,0359953860768082
"77";8;"taste";0,029549463970688
"78";8;"then";0,0288709458542543
"79";8;"haven&#039;t";0,0186931741077487
"80";8;"i&#039;m";0,0166576197584475
"81";8;"mg";0,0149613244673633
"82";9;"effect";0,0891380945927633
"83";9;"smoking";0,0772801192573519
"84";9;"side";0,0752473234855671
"85";9;"have";0,0688101368749153
"86";9;"quit";0,0650833446266432
"87";9;"medication";0,0349302073451687
"88";9;"medicine";0,0264602249627321
"89";9;"drug";0,0261214256674346
"90";9;"experience";0,0237498306003523
"91";9;"doctor";0,0223946334191625
