"";"document";"topic";"gamma"
"1";"114272";1;0,308641975308642
"2";"222255";1;0,298540965207632
"3";"200053";1;0,250793650793651
"4";"200453";1;0,244708994708995
"5";"152163";1;0,244444444444444
"6";"151737";2;0,236111111111111
"7";"151955";2;0,233585858585859
"8";"199990";2;0,230936819172113
"9";"151835";2;0,217283950617284
"10";"200309";2;0,214141414141414
"11";"199869";3;0,266874350986501
"12";"199638";3;0,234454638124363
"13";"151619";3;0,213089802130898
"14";"152036";3;0,206931702344546
"15";"225547";3;0,206349206349206
"16";"152095";4;0,250487329434698
"17";"200482";4;0,250470809792844
"18";"199794";4;0,245884773662551
"19";"152146";4;0,237103174603175
"20";"199968";4;0,234074074074074
"21";"199688";5;0,27281746031746
"22";"151582";5;0,272030651340996
"23";"200081";5;0,272030651340996
"24";"151606";5;0,252611585944919
"25";"200588";5;0,227366255144033
"26";"200196";6;0,229080932784637
"27";"199639";6;0,228395061728395
"28";"152036";6;0,225280326197757
"29";"200026";6;0,224338624338624
"30";"203633";6;0,223560910307898
"31";"151776";7;0,286868686868687
"32";"200422";7;0,268686868686869
"33";"200064";7;0,250544662309368
"34";"200298";7;0,242840778923253
"35";"199716";7;0,240882103477523
"36";"151498";8;0,25462962962963
"37";"225027";8;0,248248248248248
"38";"224802";8;0,246031746031746
"39";"200590";8;0,244708994708995
"40";"199998";8;0,237962962962963
"41";"114320";9;0,31957671957672
"42";"199909";9;0,287407407407407
"43";"179039";9;0,281481481481481
"44";"200208";9;0,258479532163743
"45";"224729";9;0,248035914702581
