"";"topic";"term";"beta"
"1";1;"be";0,0842435042538515
"2";1;"feel";0,0718843412278685
"3";1;"try";0,0675730052885721
"4";1;"review";0,0511899287192458
"5";1;"so";0,0503276615313865
"6";1;"read";0,0440043688204185
"7";1;"i&#039;m";0,0359565417337319
"8";1;"now";0,0313577833984824
"9";1;"right";0,0189986203724994
"10";1;"hour";0,0184237755805932
"11";2;"itching";0,102503585086042
"12";2;"so";0,101607313575526
"13";2;"burning";0,0786030114722754
"14";2;"bad";0,0460384799235182
"15";2;"pain";0,0358807361376673
"16";2;"go";0,0325944072657744
"17";2;"much";0,0290093212237094
"18";2;"as";0,027515535372849
"19";2;"come";0,0269180210325048
"20";2;"sleep";0,0260217495219885
"21";3;"get";0,0889762423964192
"22";3;"be";0,0826638356478825
"23";3;"bad";0,0731952255250775
"24";3;"pain";0,0533972225410306
"25";3;"never";0,051962584643636
"26";3;"vagina";0,0473717433719729
"27";3;"ever";0,0384769884081258
"28";3;"fire";0,0324515092390681
"29";3;"minute";0,0201136233214737
"30";3;"buy";0,0189659130035579
"31";4;"day";0,204549317319132
"32";4;"first";0,0643306328253357
"33";4;"night";0,0637640926859668
"34";4;"feel";0,0416690272505807
"35";4;"treatment";0,037986516344683
"36";4;"well";0,031471304741941
"37";4;"last";0,0300549543935188
"38";4;"next";0,0260891734179367
"39";4;"morning";0,0255226332785678
"40";4;"little";0,0235397427907767
"41";5;"insert";0,0622620989668298
"42";5;"cream";0,060147423116428
"43";5;"just";0,0456467887136729
"44";5;"about";0,0365838922119509
"45";5;"bed";0,030541961210803
"46";5;"start";0,0299377681106882
"47";5;"then";0,0293335750105734
"48";5;"relief";0,029031478460516
"49";5;"do";0,0287293819104586
"50";5;"hour";0,0266147060600568
"51";6;"use";0,182209595219964
"52";6;"have";0,10049206256224
"53";6;"product";0,077353406361666
"54";6;"time";0,0650518423056646
"55";6;"again";0,0316618827250893
"56";6;"other";0,0287329389022319
"57";6;"before";0,0263897838439459
"58";6;"more";0,0205318961982309
"59";6;"monistat";0,0202390018159452
"60";6;"really";0,0164313748462304
"61";7;"infection";0,126295226770851
"62";7;"have";0,110441084876281
"63";7;"yeast";0,103363342959062
"64";7;"go";0,0730706075533662
"65";7;"work";0,0662759753128362
"66";7;"get";0,034850801200385
"67";7;"help";0,0238095238095238
"68";7;"week";0,0204122076892588
"69";7;"away";0,0153162335088613
"70";7;"first";0,0141837948021063
"71";8;"burn";0,137726514067716
"72";8;"itch";0,0807999523128279
"73";8;"make";0,0351990939437291
"74";8;"just";0,0319206008583691
"75";8;"when";0,0271518836433
"76";8;"think";0,0250655698617072
"77";8;"buy";0,0250655698617072
"78";8;"say";0,0244694802098236
"79";8;"know";0,0241714353838817
"80";8;"it&#039;";0,0211909871244635
"81";9;"take";0,119138922781942
"82";9;"doctor";0,0412817384231015
"83";9;"be";0,0316948463192145
"84";9;"experience";0,0302422869095346
"85";9;"good";0,0270466562082389
"86";9;"pill";0,025884608680495
"87";9;"dose";0,0235605136250073
"88";9;"side";0,0218174423333914
"89";9;"call";0,0206553948056476
"90";9;"effect";0,0203648829237116
