"";"document";"topic";"gamma"
"1";"168393";1;0,219954648526077
"2";"213729";1;0,218106995884774
"3";"214518";1;0,207264957264957
"4";"213553";1;0,201603665521191
"5";"30868";1;0,19960668633235
"6";"31495";2;0,261977573904179
"7";"31257";2;0,21412037037037
"8";"213834";2;0,213526570048309
"9";"31875";2;0,212250712250712
"10";"213966";2;0,208754208754209
"11";"31139";3;0,235690235690236
"12";"30552";3;0,233176838810642
"13";"214523";3;0,230065359477124
"14";"31130";3;0,226287262872629
"15";"7423";3;0,222222222222222
"16";"31802";4;0,310376492194674
"17";"214191";4;0,27953216374269
"18";"213831";4;0,261553588987217
"19";"230025";4;0,244064577397911
"20";"162645";4;0,237426900584795
"21";"213848";5;0,269705603038936
"22";"214498";5;0,237547892720307
"23";"213932";5;0,235004916420846
"24";"187528";5;0,233521657250471
"25";"213883";5;0,221221221221221
"26";"214113";6;0,291787439613527
"27";"214311";6;0,252704031465093
"28";"187492";6;0,241414141414141
"29";"214005";6;0,236111111111111
"30";"214334";6;0,223560910307898
"31";"230040";7;0,250645994832041
"32";"221899";7;0,248112189859763
"33";"32009";7;0,234454638124363
"34";"222036";7;0,229080932784637
"35";"31617";7;0,218300653594771
"36";"213940";8;0,218423551756885
"37";"30750";8;0,209750566893424
"38";"214036";8;0,203065134099617
"39";"31022";8;0,201453790238837
"40";"31306";8;0,199568500539374
"41";"221903";9;0,295959595959596
"42";"230020";9;0,277124183006536
"43";"30931";9;0,265359477124183
"44";"230025";9;0,261158594491928
"45";"221994";9;0,250591016548463
