"";"topic";"term";"beta"
"1";1;"side";0,112510718223021
"2";1;"effect";0,111694091707158
"3";1;"now";0,0526928259360582
"4";1;"medication";0,0494263198726063
"5";1;"appetite";0,0363602956187987
"6";1;"hope";0,0306439100077579
"7";1;"experience";0,0255399942836144
"8";1;"other";0,0198236086725736
"9";1;"first";0,0188028255277449
"10";1;"really";0,0173737291249847
"11";2;"pound";0,102357595575471
"12";2;"year";0,0573452827903597
"13";2;"exercise";0,0422066125711517
"14";2;"change";0,0349400508659319
"15";2;"doctor";0,0345363529934197
"16";2;"diet";0,0300956763957854
"17";2;"loss";0,0270679423519438
"18";2;"ago";0,0232328125630778
"19";2;"old";0,0226272657543095
"20";2;"never";0,0218198700092851
"21";3;"feel";0,113857103535056
"22";3;"first";0,0660807675671425
"23";3;"very";0,0359993708466045
"24";3;"go";0,0332468247414573
"25";3;"headache";0,0316739412528017
"26";3;"dose";0,026758680350753
"27";3;"little";0,0234163029373599
"28";3;"also";0,0212535881404585
"29";3;"make";0,0208603672682946
"30";3;"bad";0,019287483779639
"31";3;"nausea";0,019287483779639
"32";4;"month";0,127910313166093
"33";4;"lbs";0,0990121331365798
"34";4;"back";0,0522831611739629
"35";4;"go";0,0389613051319889
"36";4;"gain";0,0360919822921791
"37";4;"then";0,0332226594523692
"38";4;"stop";0,0293285784554845
"39";4;"now";0,0246146909329398
"40";4;"again";0,02256517461879
"41";4;"loss";0,0207206099360551
"42";5;"so";0,136267361818256
"43";5;"try";0,049712842654067
"44";5;"see";0,0391226426622133
"45";5;"good";0,0379006965093072
"46";5;"far";0,0354568042034948
"47";5;"work";0,0350494888191927
"48";5;"get";0,0295507311311148
"49";5;"say";0,0264958657488493
"50";5;"give";0,0240519734430369
"51";5;"didn&#039;t";0,0234410003665839
"52";6;"pill";0,0767750961874781
"53";6;"just";0,0622012358633555
"54";6;"get";0,0443239671990984
"55";6;"want";0,0388830593447592
"56";6;"i&#039;m";0,0379114686564844
"57";6;"use";0,0355796510046248
"58";6;"when";0,0328591970774552
"59";6;"still";0,0299444250126307
"60";6;"night";0,0276126073607711
"61";6;"all";0,0231432901947068
"62";7;"weigh";0,0641487295678912
"63";7;"mouth";0,0544384204563845
"64";7;"only";0,051201650752549
"65";7;"water";0,0499878621136106
"66";7;"dry";0,0487740734746723
"67";7;"drink";0,0473579867292442
"68";7;"today";0,0437166208124292
"69";7;"lot";0,0402775530021039
"70";7;"energy";0,0338040135944328
"71";7;"i&#039;m";0,029960349571128
"72";8;"eat";0,139315964834812
"73";8;"work";0,0618401509373369
"74";8;"food";0,0431736983661836
"75";8;"time";0,0377544056842359
"76";8;"healthy";0,0243065312512545
"77";8;"only";0,0220986712697202
"78";8;"appetite";0,0164786640439966
"79";8;"meal";0,0164786640439966
"80";8;"more";0,0162779495002208
"81";8;"small";0,0162779495002208
"82";9;"do";0,0502419584400797
"83";9;"more";0,0500386320198447
"84";9;"well";0,0494286527591395
"85";9;"help";0,0331625391403359
"86";9;"about";0,0323492334593957
"87";9;"need";0,0268594201130495
"88";9;"go";0,0266560936928144
"89";9;"medicine";0,0260461144321093
"90";9;"get";0,0215729331869383
"91";9;"much";0,0215729331869383
