"";"document";"topic";"gamma"
"1";"165162";1;0,266908212560386
"2";"165176";1;0,252910052910053
"3";"165040";1;0,24385447394297
"4";"165058";1;0,233176838810642
"5";"39287";1;0,232804232804233
"6";"138965";2;0,271753681392236
"7";"52036";2;0,247657295850067
"8";"54593";2;0,243386243386243
"9";"138994";2;0,240487062404871
"10";"128784";2;0,234454638124363
"11";"39314";3;0,341640706126687
"12";"54833";3;0,322949117341641
"13";"39106";3;0,311111111111111
"14";"39368";3;0,296655879180151
"15";"54540";3;0,290058479532164
"16";"138700";4;0,28380187416332
"17";"185293";4;0,273662551440329
"18";"81794";4;0,266908212560386
"19";"39164";4;0,260196905766526
"20";"128189";4;0,250617283950617
"21";"39145";4;0,250617283950617
"22";"37920";5;0,275275275275275
"23";"77127";5;0,27046783625731
"24";"4597";5;0,266266266266266
"25";"4660";5;0,241414141414141
"26";"76930";5;0,241414141414141
"27";"54473";6;0,256313131313131
"28";"4615";6;0,248182762201454
"29";"54694";6;0,234299516908213
"30";"76796";6;0,231656184486373
"31";"139102";6;0,230936819172113
"32";"52231";6;0,230936819172113
"33";"165049";7;0,319444444444444
"34";"127898";7;0,270975056689342
"35";"127902";7;0,262433862433862
"36";"81879";7;0,252910052910053
"37";"138534";7;0,247407407407407
"38";"138956";8;0,313034188034188
"39";"4912";8;0,301440329218107
"40";"77111";8;0,301440329218107
"41";"4840";8;0,292181069958848
"42";"127505";8;0,266266266266266
"43";"145651";9;0,261158594491928
"44";"39341";9;0,260348583877996
"45";"54889";9;0,240740740740741
"46";"139048";9;0,23015873015873
"47";"55349";9;0,221132897603486
