"";"topic";"term";"beta"
"1";1;"work";0,10182119205298
"2";1;"be";0,0813693026879626
"3";1;"medication";0,0672477600311648
"4";1;"life";0,0492306194000779
"5";1;"other";0,0380307752239969
"6";1;"good";0,0360829762368524
"7";1;"able";0,0297526295286326
"8";1;"symptom";0,0287787300350604
"9";1;"know";0,0214744838332684
"10";1;"thing";0,0205005843396961
"11";2;"take";0,153536176763561
"12";2;"time";0,0756587883727248
"13";2;"sleep";0,0747532373449244
"14";2;"well";0,0743004618310242
"15";2;"also";0,0507561351082133
"16";2;"night";0,0462283799692113
"17";2;"only";0,0362673186634067
"18";2;"hour";0,0263062573576021
"19";2;"continue";0,019514624649099
"20";2;"about";0,0167979715656977
"21";3;"day";0,170437753971186
"22";3;"mg";0,0997875877355006
"23";3;"start";0,0568433690432213
"24";3;"week";0,0563816032508312
"25";3;"very";0,0563816032508312
"26";3;"dose";0,0452992242334688
"27";3;"then";0,0309844846693757
"28";3;"morning";0,0295991872922054
"29";3;"pain";0,0217491688215737
"30";3;"less";0,0189785740672331
"31";3;"most";0,0189785740672331
"32";4;"effect";0,115154536390828
"33";4;"side";0,103824888969455
"34";4;"have";0,0589594851808212
"35";4;"stop";0,0421916069971902
"36";4;"now";0,0417384211003354
"37";4;"bad";0,0385661198223511
"38";4;"experience";0,0276896582978338
"39";4;"increase";0,0222514275355751
"40";4;"nausea";0,0204386839481555
"41";4;"week";0,0168131967733164
"42";5;"get";0,0973191845853114
"43";5;"so";0,0852182816717863
"44";5;"take";0,0749790561295727
"45";5;"do";0,0596202178162524
"46";5;"feel";0,0549660243879736
"47";5;"when";0,04472679884576
"48";5;"just";0,0419342827887927
"49";5;"make";0,032625895932235
"50";5;"more";0,0256446057898166
"51";5;"depression";0,0219212510471935
"52";6;"be";0,193137618077422
"53";6;"year";0,136645675125023
"54";6;"feel";0,0695036117799593
"55";6;"first";0,0523708094091498
"56";6;"ago";0,0319966660492684
"57";6;"relief";0,0273661789220226
"58";6;"long";0,0255139840711243
"59";6;"little";0,0227356917947768
"60";6;"drug";0,0204204482311539
"61";6;"hope";0,018105204667531
"62";7;"pain";0,203087675838273
"63";7;"go";0,0712642661240379
"64";7;"have";0,0548969300185791
"65";7;"muscle";0,0287976643369017
"66";7;"back";0,0234893391135097
"67";7;"use";0,0234893391135097
"68";7;"diagnose";0,0221622578076617
"69";7;"away";0,021719897372379
"70";7;"leg";0,020392816066531
"71";7;"%";0,0141997699725737
"72";8;"pain";0,0979669868506948
"73";8;"month";0,0657931549006808
"74";8;"much";0,0331530355311014
"75";8;"gain";0,0322204606919705
"76";8;"weight";0,0275575864963163
"77";8;"about";0,0252261493984892
"78";8;"week";0,0242935745593584
"79";8;"few";0,0242935745593584
"80";8;"energy";0,0219621374615313
"81";8;"think";0,0200969877832696
"82";9;"have";0,159571482035928
"83";9;"help";0,115129116766467
"84";9;"try";0,0893993263473054
"85";9;"medicine";0,055248877245509
"86";9;"doctor";0,0519741766467066
"87";9;"give";0,0449569610778443
"88";9;"back";0,0253087574850299
"89";9;"fibromyalgia";0,0234375
"90";9;"still";0,0220340568862275
"91";9;"really";0,0215662425149701
