"";"document";"topic";"gamma"
"1";"19396";1;0,293144208037825
"2";"19254";1;0,29143897996357
"3";"92045";1;0,239018087855297
"4";"183748";1;0,21021021021021
"5";"92182";1;0,21021021021021
"6";"220131";2;0,250487329434698
"7";"178136";2;0,243628950050968
"8";"71905";2;0,238403451995685
"9";"231991";2;0,233176838810642
"10";"231072";2;0,225555555555556
"11";"40458";2;0,225555555555556
"12";"50603";3;0,305801376597837
"13";"157567";3;0,277124183006536
"14";"40421";3;0,269705603038936
"15";"175264";3;0,265359477124183
"16";"183259";3;0,258479532163743
"17";"40219";4;0,295555555555556
"18";"231086";4;0,245884773662551
"19";"230894";4;0,241830065359477
"20";"231126";4;0,239935587761675
"21";"40332";4;0,236270753512133
"22";"40507";5;0,389363722697056
"23";"231121";5;0,329534662867996
"24";"106073";5;0,225885225885226
"25";"186657";5;0,217732884399551
"26";"230966";5;0,203520352035204
"27";"40379";6;0,276803118908382
"28";"231018";6;0,224171539961014
"29";"92114";6;0,204830917874396
"30";"72607";6;0,204134366925065
"31";"19934";6;0,203520352035204
"32";"157399";7;0,293742017879949
"33";"19144";7;0,262433862433862
"34";"71913";7;0,259958071278826
"35";"134263";7;0,231656184486373
"36";"178128";7;0,231656184486373
"37";"230842";8;0,27390180878553
"38";"92263";8;0,271753681392236
"39";"29758";8;0,264264264264264
"40";"182985";8;0,250591016548463
"41";"19183";8;0,231944444444444
"42";"112085";9;0,226287262872629
"43";"92306";9;0,215762273901809
"44";"222801";9;0,207936507936508
"45";"121434";9;0,206172839506173
"46";"231018";9;0,197855750487329
"47";"40379";9;0,197855750487329
